player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
富兰克林,11,40:38,是,9-14,3-9,10-16,3,12,8,0,3,5,0,3,18,4/5,37,山西,2016-12-11
闫鹏飞,9,32:03,是,6-9,0-0,0-3,3,4,2,3,2,2,1,0,3,1/1,12,山西,2016-12-11
原帅,7,27:13,是,2-2,2-3,0-0,0,1,2,3,3,0,0,0,1,0/0,10,山西,2016-12-11
张学文,33,19:28,是,1-2,1-2,0-0,0,1,0,6,0,1,0,0,1,0/0,5,山西,2016-12-11
任骏威,21,32:35,是,0-0,1-5,1-2,2,2,1,4,2,1,0,0,1,0/0,4,山西,2016-12-11
戴勒姆波特,1,31:00,否,7-13,2-3,2-3,3,8,0,5,0,3,1,1,2,1/1,22,山西,2016-12-11
王磊,8,20:41,否,3-3,2-4,6-8,2,2,0,1,0,2,1,0,6,0/0,18,山西,2016-12-11
田桂森,3,17:40,否,2-4,1-2,2-2,0,1,0,3,0,1,0,0,1,2/2,9,山西,2016-12-11
曾令旭,6,11:41,否,1-4,0-0,0-0,0,2,0,0,2,0,0,0,0,1/1,2,山西,2016-12-11
罗智,10,02:24,否,0-0,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,山西,2016-12-11
邢志强,12,00:27,否,0-0,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,山西,2016-12-11
王洪,4,04:10,否,0-2,0-0,0-0,0,0,1,2,0,0,0,0,0,0/0,0,山西,2016-12-11
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,1,0,0,0,0/0,0,山西,2016-12-11
布鲁克斯,2,40:38,是,11-17,3-13,11-14,2,5,6,4,4,2,0,1,12,3/3,42,江苏,2016-12-11
侯逸凡,31,28:00,是,4-5,2-7,2-2,0,2,0,3,1,0,1,1,1,2/2,16,江苏,2016-12-11
常林,45,29:48,是,3-5,1-4,1-2,0,7,2,5,1,3,0,0,1,1/1,10,江苏,2016-12-11
李原宇,16,20:44,是,2-2,0-0,0-0,4,3,2,2,0,2,0,0,1,0/0,4,江苏,2016-12-11
常亚松,5,04:03,是,0-0,0-0,0-0,0,1,0,2,1,0,0,0,0,0/0,0,江苏,2016-12-11
萨缪尔斯,24,31:04,否,9-10,0-3,5-6,1,5,1,1,0,0,0,2,6,0/0,23,江苏,2016-12-11
陈磊,22,24:52,否,1-2,2-3,0-0,0,1,1,5,0,0,0,0,0,0/0,8,江苏,2016-12-11
胡雪峰,55,21:16,否,1-3,1-4,0-2,0,3,3,1,1,4,0,0,3,1/1,5,江苏,2016-12-11
柳伟,15,14:06,否,1-3,0-0,3-4,2,2,0,5,0,1,0,1,4,0/0,5,江苏,2016-12-11
曹飞,23,25:29,否,0-1,0-2,0-0,0,0,0,5,4,0,0,0,0,0/1,0,江苏,2016-12-11
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,0,0,0,0,0/0,0,江苏,2016-12-11
