player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
葛昭宝,21,38,是,10-15,0-1,1-4,3,3,4,4,1,5,0,0,2,0/0,21,山西,2018-11-20
约什-亚当斯,14,42,是,7-11,0-3,7-12,3,5,13,0,1,2,0,1,11,0/0,21,山西,2018-11-20
李敬宇,11,40,是,1-1,4-7,4-4,2,1,3,2,1,2,0,0,2,0/0,18,山西,2018-11-20
邢志强,12,11,是,0-0,1-4,0-0,0,1,0,1,0,0,0,0,0,0/0,3,山西,2018-11-20
滕贺麒,8,3,是,0-2,0-0,0-0,0,0,0,0,2,1,0,0,1,0/0,0,山西,2018-11-20
穆罕默德,15,21,否,5-9,3-4,1-2,0,5,4,2,1,0,0,0,2,0/0,20,山西,2018-11-20
闫鹏飞,9,16,否,5-8,1-1,1-1,1,1,0,4,1,0,0,1,1,0/0,14,山西,2018-11-20
张泽龙,24,18,否,2-3,2-3,0-0,0,0,0,3,0,0,0,0,1,0/0,10,山西,2018-11-20
原帅,7,17,否,0-0,2-3,0-0,0,2,1,2,1,0,0,0,1,0/0,6,山西,2018-11-20
刘冠岑,17,9,否,1-1,0-0,1-1,1,1,0,1,0,0,0,0,1,0/0,3,山西,2018-11-20
任骏威,10,13,否,0-2,0-1,2-2,1,2,0,2,0,0,0,0,2,0/0,2,山西,2018-11-20
侯兴宇,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-11-20
任鹏鹏,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-11-20
孙伟博,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-11-20
王洪,13,6,否,0-0,0-0,0-0,0,2,0,1,0,0,0,0,1,0/0,0,山西,2018-11-20
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-11-20
王哲林,31,40,是,17-25,1-1,4-7,4,13,3,4,1,3,2,2,7,0/0,41,福建,2018-11-20
尼克尔森,44,44,是,11-12,2-4,6-6,1,4,4,2,0,4,0,0,5,0/0,34,福建,2018-11-20
陈林坚,15,48,是,6-8,5-8,5-5,0,2,5,1,3,0,0,0,4,0/0,32,福建,2018-11-20
黄毅超,14,22,是,2-3,1-2,0-0,1,0,0,3,0,0,0,0,0,0/0,7,福建,2018-11-20
谢亚财,19,18,是,0-1,0-0,0-0,1,1,1,2,0,2,0,0,0,0/0,0,福建,2018-11-20
普-杰特,4,27,否,2-4,3-8,2-2,0,3,6,4,0,2,0,0,4,0/0,15,福建,2018-11-20
田桂森,0,25,否,1-2,0-1,0-1,0,2,3,6,2,1,0,0,2,0/0,2,福建,2018-11-20
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-20
范宇轩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-20
李江淮,5,2,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-20
胡珑贸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-20
田嘉夫,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-20
孙椿棚,13,6,否,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,福建,2018-11-20
赵泰隆,73,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-20
何重达,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-20
卡米然斯地克江,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-20
孙喆,17,4,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,福建,2018-11-20
刘洺宇,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-20
