player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
路易斯-斯科拉,4,40,是,10-20,1-2,4-5,4,11,5,5,3,3,1,0,8,0/0,27,山西,2017-12-27
曾令旭,6,35,是,3-5,4-10,2-5,0,5,6,3,2,3,0,0,3,0/0,20,山西,2017-12-27
李敬宇,11,24,是,3-6,1-4,4-4,2,4,0,2,0,1,0,0,2,0/0,13,山西,2017-12-27
刘冠岑,17,21,是,3-6,0-4,1-2,3,3,3,1,1,1,0,1,2,0/0,7,山西,2017-12-27
邢志强,12,18,是,1-1,0-3,0-0,1,1,2,5,0,0,1,0,0,0/0,2,山西,2017-12-27
威利-沃伦,32,31,否,8-10,1-3,7-7,1,6,6,1,3,3,0,3,7,0/0,26,山西,2017-12-27
任骏威,26,20,否,5-7,0-2,2-6,2,2,1,1,1,1,0,0,5,0/0,12,山西,2017-12-27
王洪,13,21,否,2-2,2-5,0-0,2,3,5,3,3,0,0,0,1,0/0,10,山西,2017-12-27
原帅,7,7,否,0-0,1-1,0-0,0,0,0,2,0,0,0,0,0,0/0,3,山西,2017-12-27
闫鹏飞,9,13,否,1-2,0-0,0-0,0,2,1,2,0,0,1,0,1,0/0,2,山西,2017-12-27
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-27
王重阳,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-27
李旭,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-27
侯兴宇,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-27
王磊,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-27
张学文,33,3,否,0-1,0-0,0-0,0,1,1,1,0,1,0,0,0,0/0,0,山西,2017-12-27
沙威剑,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-27
张泽龙,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-12-27
吉布森,22,48,是,7-15,8-20,3-4,2,12,9,3,2,5,0,0,13,0/0,41,青岛,2017-12-27
高尚,0,38,是,4-10,2-4,3-5,4,2,2,2,0,0,0,0,3,0/0,17,青岛,2017-12-27
苏伟,9,26,是,2-6,0-0,3-8,1,4,0,6,1,4,0,0,5,0/0,7,青岛,2017-12-27
王庆明,32,7,是,1-2,0-0,2-2,3,0,0,4,0,0,0,0,1,0/0,4,青岛,2017-12-27
刘书楠,7,16,是,0-2,1-2,0-0,1,0,1,1,0,0,0,0,0,0/0,3,青岛,2017-12-27
宗赞,13,28,否,5-8,1-3,2-3,1,8,2,6,2,2,0,0,3,0/0,15,青岛,2017-12-27
孙杰,17,24,否,4-4,1-5,0-0,2,2,1,2,1,1,0,0,0,0/0,11,青岛,2017-12-27
田嘉夫,14,29,否,0-0,3-9,0-0,1,3,2,3,0,2,0,0,0,0/0,9,青岛,2017-12-27
许家晗,3,17,否,1-2,0-1,0-0,0,0,0,2,3,1,0,0,1,0/0,2,青岛,2017-12-27
刘鸿博,91,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-27
张骋宇,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-27
张涵钧,2,2,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-27
张昊,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-27
刁成灏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-27
赵捷,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-27
丁皓然,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-27
马齐-兰佩,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-27
单梓桐,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-27
