player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
周鹏,11,42:14,是,6-10,4-9,6-9,0,3,2,2,1,1,0,0,5,0/0,30,广东,2017-01-01
唐纳德-斯隆,23,35:41,是,9-13,2-9,2-2,0,6,5,1,2,2,0,0,3,1/1,26,广东,2017-01-01
任骏飞,20,28:06,是,3-6,1-2,3-5,5,1,2,3,1,4,0,0,3,0/0,12,广东,2017-01-01
董瀚麟,16,20:54,是,2-5,0-0,4-6,6,6,0,2,1,0,0,1,3,0/0,8,广东,2017-01-01
赵睿,0,27:22,是,0-3,1-1,2-2,1,3,2,6,1,0,0,0,2,0/0,5,广东,2017-01-01
布泽尔,5,30:56,否,9-14,0-0,4-4,3,7,3,3,0,0,0,1,3,2/2,22,广东,2017-01-01
周湛东,13,08:30,否,0-1,2-2,0-0,0,0,0,2,0,0,0,0,0,0/0,6,广东,2017-01-01
邵英伦,12,01:53,否,1-1,0-0,1-1,0,0,0,2,0,0,0,0,2,0/0,3,广东,2017-01-01
陈江华,6,12:19,否,1-3,0-1,0-0,0,2,1,5,2,1,0,0,0,1/1,2,广东,2017-01-01
朱芳雨,8,19:17,否,0-1,0-5,2-2,0,2,1,1,2,2,0,0,2,0/0,2,广东,2017-01-01
杨金蒙,17,12:02,否,0-0,0-2,0-0,0,0,1,6,1,2,0,0,0,0/0,0,广东,2017-01-01
赵天熠,26,00:46,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,广东,2017-01-01
未确认,--,--,--,0-0,0-0,0-0,1,5,0,0,0,1,0,0,0,0/0,0,广东,2017-01-01
弗雷戴特,32,37:30,是,5-10,3-10,16-16,0,5,3,2,1,4,0,0,15,0/0,35,上海,2017-01-01
张兆旭,23,36:37,是,5-8,0-0,1-3,1,4,0,3,1,1,1,2,2,0/0,11,上海,2017-01-01
翟逸,22,30:27,是,3-3,0-3,3-3,0,1,2,4,0,1,0,1,4,0/0,9,上海,2017-01-01
刘晓宇,10,42:42,是,1-4,0-0,3-3,1,2,7,2,3,6,0,0,4,0/0,5,上海,2017-01-01
曾文鼎,76,07:48,是,0-1,1-3,0-0,0,2,0,2,0,0,0,0,0,0/0,3,上海,2017-01-01
亚布塞莱,16,34:30,否,4-7,4-10,8-10,3,7,2,1,2,2,1,0,8,0/0,28,上海,2017-01-01
蔡亮,1,28:01,否,0-1,4-5,0-0,1,5,0,5,1,2,0,0,1,0/0,12,上海,2017-01-01
卢伟,12,13:34,否,2-3,0-2,0-0,0,0,0,2,0,0,0,0,0,0/0,4,上海,2017-01-01
鞠鹏,9,06:47,否,0-1,0-1,0-0,0,1,0,2,0,1,0,0,0,0/0,0,上海,2017-01-01
唐子豪,7,02:04,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-01-01
未确认,--,--,--,0-0,0-0,0-0,2,3,0,0,0,0,0,0,0,0/0,0,上海,2017-01-01
