player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
易建联,9,19,是,7-13,0-1,4-7,1,8,0,0,1,0,2,1,4,0/0,18,广东,2017-11-10
周鹏,11,28,是,2-4,2-5,4-5,1,3,2,4,1,0,0,0,5,0/0,14,广东,2017-11-10
埃德温-杰克逊,1,20,是,6-7,0-0,0-0,0,2,1,0,1,1,0,0,1,0/0,12,广东,2017-11-10
胡明轩,16,26,是,3-4,0-1,2-2,0,2,3,1,0,3,0,0,4,0/0,8,广东,2017-11-10
任骏飞,20,34,是,2-3,0-2,2-2,0,4,1,2,1,0,0,0,1,0/0,6,广东,2017-11-10
尼克尔森,44,21,否,9-12,4-5,1-1,0,10,2,2,1,2,0,3,1,0/0,31,广东,2017-11-10
邵英伦,13,23,否,2-2,1-2,0-0,2,2,1,3,1,3,0,1,0,0/0,7,广东,2017-11-10
杨金蒙,17,27,否,1-4,1-3,0-0,0,1,1,3,2,0,0,0,0,0/0,5,广东,2017-11-10
周湛东,3,22,否,1-3,1-1,0-0,2,0,1,2,0,1,0,0,0,0/0,5,广东,2017-11-10
赵睿,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-11-10
徐铭智,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-11-10
曾繁日,22,7,否,0-1,0-0,0-0,0,1,0,3,0,1,0,0,0,0/0,0,广东,2017-11-10
王薪凯,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-11-10
赵戌宏,21,7,否,0-3,0-0,0-0,1,1,0,1,0,0,0,0,0,0/0,0,广东,2017-11-10
李佳益,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-11-10
刘航初,9,36,是,6-10,0-3,9-10,1,3,1,0,1,0,0,0,7,0/0,21,八一,2017-11-10
许钟豪,24,27,是,9-13,0-1,1-2,2,4,2,3,0,1,0,0,2,0/0,19,八一,2017-11-10
雷蒙,11,33,是,2-6,2-5,0-0,1,5,2,2,1,2,0,0,1,0/0,10,八一,2017-11-10
付豪,1,23,是,3-7,0-0,3-3,1,0,0,2,1,1,0,0,2,0/0,9,八一,2017-11-10
田宇翔,7,21,是,0-2,0-1,0-0,0,1,4,1,2,1,0,0,0,0/0,0,八一,2017-11-10
李天戈,6,5,否,1-1,0-1,7-7,0,2,1,0,0,2,0,0,4,0/0,9,八一,2017-11-10
宁鸿宇,16,28,否,2-5,0-1,5-6,1,3,0,3,1,1,2,0,3,0/0,9,八一,2017-11-10
阿尔斯兰,5,20,否,0-1,3-5,0-0,0,2,1,2,2,0,0,0,0,0/0,9,八一,2017-11-10
余晨,15,17,否,2-4,0-0,0-0,0,2,1,1,0,1,0,0,0,0/0,4,八一,2017-11-10
张祖铭,20,13,否,1-3,0-2,0-0,1,2,0,1,1,0,0,0,1,0/0,2,八一,2017-11-10
邹雨宸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-10
德勒黑,22,5,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,1,0/0,0,八一,2017-11-10
缪光旸,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-10
曹岩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-10
罗凯文,13,5,否,0-1,0-0,0-0,0,1,1,0,0,0,0,0,0,0/0,0,八一,2017-11-10
王俊霖,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-10
