player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
易建联,9,40:53,是,7-15,0-2,13-18,4,6,0,2,2,7,2,0,14,0/0,27,广东,2017-02-05
唐纳德-斯隆,23,42:38,是,5-15,2-4,2-2,2,4,8,3,1,5,0,0,2,1/1,18,广东,2017-02-05
周鹏,11,43:33,是,5-9,1-6,1-4,1,5,1,1,2,3,0,1,4,0/0,14,广东,2017-02-05
任骏飞,20,26:10,是,3-4,1-1,0-0,3,0,0,1,0,1,0,0,0,0/0,9,广东,2017-02-05
杨金蒙,17,12:39,是,0-0,0-0,2-2,0,0,0,6,0,3,0,0,2,0/0,2,广东,2017-02-05
布泽尔,5,26:03,否,10-17,0-0,2-2,2,9,0,2,0,1,1,1,2,0/0,22,广东,2017-02-05
周湛东,13,20:46,否,0-0,2-2,2-2,0,5,0,5,0,0,0,0,2,0/0,8,广东,2017-02-05
赵睿,0,20:04,否,0-0,1-2,0-0,0,2,1,6,2,0,0,0,4,0/0,3,广东,2017-02-05
曾繁日,34,02:47,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-02-05
高尚,3,04:27,否,0-0,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,广东,2017-02-05
未确认,--,--,--,0-0,0-0,0-0,0,4,0,0,0,0,0,0,0,0/0,0,广东,2017-02-05
马布里,3,34:55,是,5-10,2-5,16-18,0,3,4,6,2,4,0,0,17,0/0,32,北京,2017-02-05
吉喆,51,31:26,是,2-5,1-3,0-0,3,2,0,3,2,0,0,0,2,0/0,7,北京,2017-02-05
方硕,8,27:42,是,2-6,1-3,0-0,2,2,2,0,0,0,0,0,1,1/1,7,北京,2017-02-05
张松涛,35,18:23,是,2-4,0-0,0-0,0,2,1,5,0,4,0,1,1,0/0,4,北京,2017-02-05
王骁辉,33,02:46,是,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,北京,2017-02-05
翟晓川,20,38:39,否,8-13,0-4,2-4,3,8,0,1,3,1,1,1,2,1/1,18,北京,2017-02-05
张庆鹏,18,22:19,否,2-4,2-5,5-5,0,1,2,1,0,0,0,0,3,0/0,15,北京,2017-02-05
杰瑞特,34,32:55,否,5-12,1-4,0-0,2,5,2,6,0,3,4,2,0,0/0,13,北京,2017-02-05
孙悦,9,25:16,否,1-2,0-3,0-0,2,1,2,2,0,2,0,0,0,0/0,2,北京,2017-02-05
朱彦西,13,04:50,否,0-0,0-0,0-0,0,0,0,3,0,0,0,0,0,0/0,0,北京,2017-02-05
段江鹏,11,00:49,否,0-0,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,北京,2017-02-05
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,1,0,0,0,0/0,0,北京,2017-02-05
