player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
易建联,9,34,是,9-16,1-3,5-5,3,7,2,2,1,1,2,4,4,0/0,26,广东,2018-12-13
德莱尼,23,38,是,7-13,3-6,2-3,1,6,2,3,4,1,0,0,4,0/0,25,广东,2018-12-13
任骏飞,20,34,是,3-4,0-1,2-2,3,7,3,2,2,3,0,0,2,0/0,8,广东,2018-12-13
赵睿,10,34,是,0-2,2-7,2-2,0,1,2,4,0,0,0,0,4,0/0,8,广东,2018-12-13
周鹏,11,36,是,0-6,1-4,4-4,1,6,2,5,0,1,0,0,4,0/0,7,广东,2018-12-13
威姆斯,13,33,否,9-12,0-4,0-0,0,5,4,1,0,3,0,2,0,0/0,18,广东,2018-12-13
胡明轩,1,4,否,1-2,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,广东,2018-12-13
苏伟,12,9,否,0-0,0-0,2-2,0,1,0,2,0,0,0,0,1,0/0,2,广东,2018-12-13
孟铎,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-12-13
万圣伟,51,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-12-13
刁成灏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-12-13
曾繁日,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-12-13
杜润旺,18,13,否,0-0,0-1,0-0,0,1,0,1,0,1,0,0,0,0/0,0,广东,2018-12-13
纪祥,39,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-12-13
徐杰,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-12-13
王薪凯,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-12-13
琼斯,55,40,是,8-18,6-10,6-7,2,4,5,1,3,0,0,1,13,0/0,40,吉林,2018-12-13
李安,4,22,是,4-9,0-0,0-0,4,6,1,6,2,0,0,0,1,0/0,8,吉林,2018-12-13
姜宇星,13,36,是,1-3,1-2,3-4,2,5,1,4,1,1,1,0,2,0/0,8,吉林,2018-12-13
崔晋铭,5,29,是,2-3,1-3,0-0,2,3,2,1,0,2,1,0,0,0/0,7,吉林,2018-12-13
张彪,14,17,是,2-7,0-0,0-0,2,2,1,2,2,0,0,0,0,0/0,4,吉林,2018-12-13
马齐-兰佩,30,31,否,5-16,2-5,4-4,7,8,1,3,0,4,1,0,3,0/0,20,吉林,2018-12-13
姜伟泽,11,26,否,0-1,3-4,0-0,1,0,2,2,0,0,0,0,1,0/0,9,吉林,2018-12-13
代怀博,36,24,否,0-1,2-6,0-0,0,3,1,0,0,2,1,0,0,0/0,6,吉林,2018-12-13
夏钰博,15,9,否,0-1,1-2,0-0,0,1,0,0,0,0,0,0,0,0/0,3,吉林,2018-12-13
付博文,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-13
刘天意,1,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-13
柴长易,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-13
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-13
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-13
廉明,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-13
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-13
耿铭旸,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-13
