player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
易建联,9,28,是,12-18,0-2,6-7,2,10,0,1,0,1,2,6,6,0/0,30,广东,2018-10-26
德莱尼,23,34,是,6-8,2-6,5-6,0,1,11,5,5,3,0,0,4,0/0,23,广东,2018-10-26
周鹏,11,21,是,0-2,4-5,2-4,0,2,2,0,1,0,0,0,4,0/0,14,广东,2018-10-26
任骏飞,20,21,是,2-5,0-1,0-0,1,0,3,3,2,1,0,0,0,0/0,4,广东,2018-10-26
赵睿,10,15,是,2-3,0-1,0-1,1,1,2,5,1,1,0,0,1,0/0,4,广东,2018-10-26
威姆斯,13,29,否,12-16,0-3,2-2,1,1,4,2,1,3,0,1,3,0/0,26,广东,2018-10-26
杜润旺,18,25,否,2-4,3-5,0-0,1,0,3,4,0,0,0,0,0,0/0,13,广东,2018-10-26
王薪凯,5,7,否,0-0,3-3,0-0,0,1,0,0,0,0,0,0,0,0/0,9,广东,2018-10-26
曾繁日,22,9,否,1-1,0-0,4-4,2,2,0,2,0,0,0,1,2,0/0,6,广东,2018-10-26
胡明轩,1,20,否,1-2,1-2,1-2,2,2,4,2,2,1,0,0,1,0/0,6,广东,2018-10-26
孟铎,3,17,否,0-2,1-4,0-0,0,3,3,3,1,0,0,0,0,0/0,3,广东,2018-10-26
刁成灏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-10-26
苏伟,12,10,否,0-0,0-0,0-0,1,2,0,3,0,0,0,0,0,0/0,0,广东,2018-10-26
纪祥,39,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-10-26
徐杰,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-10-26
富兰克林,11,40,是,8-13,2-6,11-13,1,8,2,2,1,6,3,0,11,0/0,33,四川,2018-10-26
贾森-汤普森,1,40,是,11-16,0-2,8-11,5,12,3,5,0,6,1,1,7,0/0,30,四川,2018-10-26
陈辰,32,27,是,5-6,0-3,0-0,1,1,0,3,0,2,0,1,2,0/0,10,四川,2018-10-26
黄荣奇,7,35,是,2-8,2-5,0-0,2,3,4,4,2,5,0,0,1,0/0,10,四川,2018-10-26
左朕年,13,24,是,1-1,1-1,0-0,0,4,0,3,0,2,0,0,1,0/0,5,四川,2018-10-26
杨越,6,32,否,3-4,2-3,2-5,0,1,2,2,0,0,0,0,3,0/0,14,四川,2018-10-26
闵庆飞,21,15,否,2-2,0-1,1-1,1,0,0,2,2,1,0,0,1,0/0,5,四川,2018-10-26
王政博,16,11,否,0-0,0-2,4-4,0,2,2,1,1,0,0,0,3,0/0,4,四川,2018-10-26
袁振梁,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-26
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-26
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-26
曾文鼎,76,9,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,1,0/0,0,四川,2018-10-26
孟达,12,2,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-26
景菡一,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-26
莫蒙尘,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-26
胡林森,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-26
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-26
陈晓东,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-26
张海阔,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-26
