player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
唐纳德-斯隆,23,45:34,是,8-16,4-8,4-6,1,2,13,0,0,3,0,0,5,1/1,32,广东,2016-11-30
易建联,9,41:54,是,7-9,2-7,8-13,2,12,2,1,2,2,1,2,10,0/0,28,广东,2016-11-30
周鹏,11,43:26,是,2-3,4-5,2-8,2,5,0,2,1,5,1,0,6,1/1,18,广东,2016-11-30
赵睿,0,22:59,是,1-2,0-1,2-4,1,1,1,5,1,1,0,0,2,0/0,4,广东,2016-11-30
邵英伦,12,09:09,是,0-0,0-0,0-0,0,1,0,1,0,0,0,0,1,0/0,0,广东,2016-11-30
布泽尔,5,26:26,否,10-13,0-0,0-0,2,6,1,2,3,1,1,0,0,1/1,20,广东,2016-11-30
高尚,3,10:53,否,0-0,2-3,0-0,0,0,0,1,0,0,0,0,0,0/0,6,广东,2016-11-30
杨金蒙,17,15:03,否,2-3,0-1,0-0,2,0,2,5,0,2,0,0,0,0/0,4,广东,2016-11-30
董瀚麟,16,08:33,否,1-1,0-0,0-2,2,1,1,5,0,0,0,0,1,0/0,2,广东,2016-11-30
周湛东,13,06:26,否,0-0,0-0,0-0,0,0,0,3,0,1,0,0,0,0/0,0,广东,2016-11-30
朱芳雨,8,09:37,否,0-0,0-2,0-0,1,1,1,0,0,0,0,0,0,0/0,0,广东,2016-11-30
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,1,0,0,0,0/0,0,广东,2016-11-30
萨尼-萨卡基尼,7,42:07,是,9-12,0-0,7-8,6,7,0,4,0,3,0,0,8,0/0,25,天津,2016-11-30
杰里米-泰勒,8,35:02,是,8-20,0-0,2-3,3,6,0,4,1,1,0,3,4,1/1,18,天津,2016-11-30
李荣培,15,34:30,是,4-9,0-2,2-4,2,1,1,6,2,1,0,0,3,0/0,10,天津,2016-11-30
张智涵,9,14:43,是,1-1,1-2,0-0,0,0,1,2,3,2,0,0,2,0/0,5,天津,2016-11-30
田野,4,08:05,是,0-0,0-0,0-0,0,0,0,2,0,1,0,0,1,0/0,0,天津,2016-11-30
普-杰特,3,36:58,否,6-11,7-15,3-3,0,3,7,1,2,5,0,0,5,0/0,36,天津,2016-11-30
田垒,1,14:56,否,0-0,1-2,2-2,2,4,1,2,0,0,0,0,1,0/0,5,天津,2016-11-30
孟祥龙,14,33:17,否,1-3,0-4,0-0,0,3,1,3,0,0,0,0,0,1/1,2,天津,2016-11-30
张楠,11,16:27,否,1-2,0-1,0-0,0,0,1,1,2,1,0,0,1,0/0,2,天津,2016-11-30
时德帅,23,03:55,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2016-11-30
未确认,--,--,--,0-0,0-0,0-0,1,3,0,0,0,1,0,0,0,0/0,0,天津,2016-11-30
