player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
易建联,9,46,是,13-19,0-0,14-14,3,11,0,6,0,2,1,1,10,0/0,40,广东,2018-01-21
周鹏,11,44,是,5-7,2-9,4-7,1,1,6,3,1,0,0,0,4,0/0,20,广东,2018-01-21
赵睿,0,35,是,3-5,1-4,3-3,1,2,4,2,3,2,0,0,3,0/0,12,广东,2018-01-21
尼克尔森,44,28,是,1-6,2-4,0-0,1,2,0,2,0,1,1,0,0,0/0,8,广东,2018-01-21
杨金蒙,17,23,是,1-1,1-1,0-0,0,0,1,4,1,0,0,0,0,0/0,5,广东,2018-01-21
达柳斯-莫里斯,2,28,否,3-9,3-3,2-2,2,4,4,6,1,2,0,1,6,0/0,17,广东,2018-01-21
任骏飞,20,24,否,2-3,1-3,1-2,1,3,1,4,0,0,0,0,1,0/0,8,广东,2018-01-21
赵戌宏,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-21
王薪凯,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-21
曾繁日,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-21
李佳益,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-21
周湛东,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-21
徐铭智,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-21
胡明轩,16,8,否,0-1,0-1,0-0,0,1,0,2,0,0,0,0,0,0/0,0,广东,2018-01-21
邵英伦,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-21
泰-劳森,3,39,是,9-14,1-4,11-13,2,4,8,2,1,2,0,0,8,0/0,32,山东,2018-01-21
陶汉林,20,36,是,5-7,0-0,3-3,4,2,0,6,0,1,0,2,2,0/0,13,山东,2018-01-21
丁彦雨航,2,37,是,4-5,1-4,2-4,0,4,2,1,1,2,0,0,4,0/0,13,山东,2018-01-21
贾诚,32,7,是,0-2,1-2,0-0,1,4,1,1,0,0,0,0,0,0/0,3,山东,2018-01-21
睢冉,1,17,是,1-2,0-2,0-0,1,1,0,2,0,1,0,0,1,0/0,2,山东,2018-01-21
莫泰尤纳斯,12,32,否,8-14,1-3,8-11,1,5,1,2,0,1,0,1,9,0/0,27,山东,2018-01-21
吴轲,15,19,否,4-6,1-2,0-0,1,2,1,5,1,0,2,0,0,0/0,11,山东,2018-01-21
张春军,27,29,否,2-3,1-2,2-4,2,4,2,2,0,1,0,0,1,0/0,9,山东,2018-01-21
王汝恒,24,20,否,0-0,1-2,0-2,1,0,1,3,2,0,0,0,4,0/0,3,山东,2018-01-21
李泓翰,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-21
张辉,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-21
张庆鹏,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-21
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-21
朱荣振,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-21
焦海龙,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-21
潘宁,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-21
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-21
