player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
易建联,9,30:29,是,2-6,5-7,4-4,3,6,0,2,0,0,2,1,4,0/0,23,广东,2016-12-07
唐纳德-斯隆,23,31:47,是,6-14,3-6,2-2,0,2,8,0,1,3,0,0,2,1/1,23,广东,2016-12-07
周鹏,11,26:11,是,3-4,1-4,0-0,0,2,1,3,1,1,0,0,2,0/0,9,广东,2016-12-07
杨金蒙,17,14:49,是,2-3,1-2,0-0,0,0,1,2,0,0,0,0,0,0/0,7,广东,2016-12-07
任骏飞,20,11:39,是,1-2,0-0,0-0,2,1,2,3,3,1,0,0,0,0/0,2,广东,2016-12-07
布泽尔,5,28:13,否,8-20,0-0,1-1,6,8,2,2,0,4,0,1,3,0/0,17,广东,2016-12-07
高尚,3,23:22,否,2-4,2-4,0-1,2,0,0,4,0,0,0,0,1,0/0,10,广东,2016-12-07
周湛东,13,06:14,否,0-2,1-1,0-0,0,1,0,0,1,0,0,0,1,0/0,3,广东,2016-12-07
陈江华,6,12:19,否,1-3,0-0,0-0,0,1,3,0,1,1,0,0,2,0/0,2,广东,2016-12-07
董瀚麟,16,01:39,否,0-1,0-0,0-0,1,1,0,3,0,3,0,0,0,0/0,0,广东,2016-12-07
未确认,--,--,--,0-0,0-0,0-0,2,2,0,0,0,0,0,0,0,0/0,0,广东,2016-12-07
福特森,4,39:25,是,5-11,3-10,9-10,0,1,9,4,0,7,0,0,8,1/1,28,广厦,2016-12-07
林志杰,27,29:42,是,2-2,3-7,5-5,0,2,3,1,5,2,0,0,5,0/0,18,广厦,2016-12-07
胡金秋,21,27:38,是,8-9,0-0,0-0,1,2,1,1,0,1,4,0,0,0/0,16,广厦,2016-12-07
王征,13,15:25,是,2-3,0-0,1-1,0,2,0,2,0,1,2,0,2,0/0,5,广厦,2016-12-07
李京龙,9,18:32,是,1-2,1-3,0-0,0,2,0,3,0,0,0,0,0,0/0,5,广厦,2016-12-07
霍尔曼,32,25:39,否,5-11,0-1,1-1,3,6,2,0,1,2,2,1,2,0/0,11,广厦,2016-12-07
刘铮,11,28:50,否,2-3,2-4,0-0,1,1,1,1,1,1,0,0,1,0/0,10,广厦,2016-12-07
苏若禹,5,08:22,否,0-0,0-0,2-2,1,2,0,3,0,0,0,0,1,0/0,2,广厦,2016-12-07
孙铭徽,17,01:39,否,0-0,0-1,0-0,0,2,0,0,0,0,0,0,0,0/0,0,广厦,2016-12-07
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,0,0,0,0,0/0,0,广厦,2016-12-07
