player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
唐纳德-斯隆,23,38:32,是,7-10,5-6,1-2,0,6,7,1,1,3,0,0,2,1/1,30,广东,2016-11-18
易建联,9,36:03,是,5-13,3-4,2-2,2,11,0,0,0,2,0,0,4,0/0,21,广东,2016-11-18
周鹏,11,40:06,是,3-8,2-6,3-4,0,3,4,1,3,0,1,1,2,1/1,15,广东,2016-11-18
任骏飞,20,25:18,是,5-6,0-0,0-0,4,1,1,4,2,1,0,1,0,2/2,10,广东,2016-11-18
赵睿,0,25:29,是,3-5,1-6,0-1,1,4,3,5,2,3,0,0,6,2/2,9,广东,2016-11-18
布泽尔,5,29:15,否,7-16,0-0,3-4,4,11,1,4,0,4,0,3,5,0/0,17,广东,2016-11-18
周湛东,13,21:31,否,0-0,3-5,0-0,0,1,2,3,1,0,0,0,0,0/0,9,广东,2016-11-18
杨金蒙,17,14:52,否,1-1,1-4,0-0,0,3,1,3,1,1,0,0,1,0/0,5,广东,2016-11-18
曾繁日,34,05:24,否,0-1,0-0,1-2,0,2,0,1,0,1,1,0,1,0/0,1,广东,2016-11-18
邵英伦,12,03:30,否,0-2,0-0,0-0,0,0,1,2,0,0,0,0,0,0/0,0,广东,2016-11-18
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,2,0,0,0,0/0,0,广东,2016-11-18
亚当斯,4,40:30,是,11-15,2-17,4-5,0,9,8,3,1,7,1,0,12,0/0,32,新疆,2016-11-18
俞长栋,7,30:22,是,2-3,1-2,1-2,1,3,0,4,0,1,0,0,2,0/0,8,新疆,2016-11-18
孙桐林,55,38:57,是,2-5,0-0,2-2,2,10,2,3,2,5,0,0,5,0/0,6,新疆,2016-11-18
可兰白克,13,23:41,是,2-6,0-1,2-2,1,2,0,1,2,1,0,0,1,0/0,6,新疆,2016-11-18
阿不都沙拉木,14,15:45,是,0-3,1-3,1-2,0,0,0,1,0,0,1,0,1,0/0,4,新疆,2016-11-18
李根,1,34:23,否,3-9,2-4,2-2,1,0,0,3,1,1,0,0,1,1/1,14,新疆,2016-11-18
西热力江,20,24:19,否,1-2,2-8,0-0,2,2,0,2,2,1,0,0,0,1/1,8,新疆,2016-11-18
王子瑞,30,07:30,否,1-3,1-1,1-1,1,1,0,0,2,1,0,0,1,0/0,6,新疆,2016-11-18
孙鸣阳,21,20:01,否,0-4,0-0,1-2,2,2,0,3,0,1,0,0,1,0/0,1,新疆,2016-11-18
唐才育,18,03:30,否,0-0,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,新疆,2016-11-18
卡米然斯地克江,2,01:02,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,新疆,2016-11-18
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,0,0,0,0,0/0,0,新疆,2016-11-18
