player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
尼克尔森,44,43,是,17-25,1-3,8-9,1,8,0,5,2,2,0,3,6,0/0,45,广东,2017-12-17
易建联,9,40,是,5-15,1-1,7-12,4,8,1,1,1,1,1,1,11,0/0,20,广东,2017-12-17
周鹏,11,39,是,4-4,3-10,0-0,1,3,6,3,1,3,1,0,0,0/0,17,广东,2017-12-17
杨金蒙,17,29,是,2-2,1-3,0-0,1,1,3,3,2,0,0,0,0,0/0,7,广东,2017-12-17
胡明轩,16,31,是,1-1,1-1,1-5,2,2,4,1,0,1,0,0,3,0/0,6,广东,2017-12-17
埃德温-杰克逊,1,25,否,3-4,1-4,0-0,1,3,3,0,1,1,0,0,2,0/0,9,广东,2017-12-17
任骏飞,20,11,否,0-1,1-2,0-0,0,2,2,1,0,0,0,0,1,0/0,3,广东,2017-12-17
邵英伦,13,4,否,0-0,0-0,1-2,0,1,0,1,0,0,0,0,1,0/0,1,广东,2017-12-17
赵戌宏,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-17
王薪凯,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-17
曾繁日,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-17
李佳益,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-17
周湛东,3,13,否,0-0,0-1,0-0,0,0,0,2,0,2,0,0,0,0/0,0,广东,2017-12-17
徐铭智,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-17
赵睿,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-17
威姆斯,13,37,是,6-16,3-6,6-6,2,6,6,1,3,4,0,0,7,0/0,27,浙江,2017-12-17
吴前,33,42,是,3-10,4-13,0-0,3,2,7,3,2,1,0,0,1,0/0,18,浙江,2017-12-17
张大宇,24,26,是,5-9,0-1,0-0,3,3,1,5,0,1,0,0,1,0/0,10,浙江,2017-12-17
张永鹏,76,29,是,5-6,0-0,0-1,0,3,1,5,3,0,0,0,1,0/0,10,浙江,2017-12-17
程帅澎,6,8,是,0-0,0-0,0-0,0,1,0,1,0,1,0,0,0,0/0,0,浙江,2017-12-17
斯托克斯,12,34,否,7-11,0-0,4-5,3,10,4,3,0,2,0,0,5,0/0,18,浙江,2017-12-17
陆文博,8,39,否,1-1,4-4,2-2,1,0,2,5,1,1,0,0,1,0/0,16,浙江,2017-12-17
付磊,3,2,否,0-1,1-2,0-0,0,0,0,0,0,0,0,0,0,0/0,3,浙江,2017-12-17
张家丰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-17
李宗翰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-17
江凯,93,13,否,0-2,0-1,0-2,2,2,2,1,0,0,0,0,1,0/0,0,浙江,2017-12-17
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-17
刘泽一,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-17
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-17
赖俊豪,17,5,否,0-0,0-1,0-0,0,0,0,0,0,1,0,0,0,0/0,0,浙江,2017-12-17
惠龙儿,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-17
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-17
王奕博,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-17
