player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
唐纳德-斯隆,23,43:51,是,8-15,2-8,6-6,1,11,9,3,0,4,0,0,9,0/0,28,广东,2017-03-12
周鹏,11,43:46,是,4-9,3-7,5-7,2,4,2,5,1,3,1,0,8,0/0,22,广东,2017-03-12
易建联,9,21:18,是,3-8,2-5,1-1,2,6,0,0,0,0,1,1,1,1/1,13,广东,2017-03-12
赵睿,0,28:09,是,4-5,0-0,0-0,0,0,1,5,2,2,0,0,0,0/0,8,广东,2017-03-12
任骏飞,20,15:12,是,0-0,0-0,0-2,0,1,1,5,0,0,0,0,1,0/0,0,广东,2017-03-12
布泽尔,5,26:42,否,7-17,0-0,2-2,7,7,1,5,1,1,0,0,1,0/0,16,广东,2017-03-12
朱芳雨,8,25:22,否,1-2,3-7,0-0,1,2,1,2,0,1,0,0,1,0/0,11,广东,2017-03-12
周湛东,13,08:37,否,0-0,0-0,0-0,0,0,1,2,0,0,0,0,0,0/0,0,广东,2017-03-12
高尚,3,03:41,否,0-0,0-1,0-0,0,0,0,1,0,1,0,0,0,0/0,0,广东,2017-03-12
陈江华,6,11:22,否,0-0,0-1,0-0,0,0,2,0,1,0,0,0,0,0/0,0,广东,2017-03-12
董瀚麟,16,12:00,否,0-1,0-0,0-0,0,3,0,2,0,0,0,0,0,0/0,0,广东,2017-03-12
未确认,--,--,--,0-0,0-0,0-0,1,3,0,0,0,0,0,0,0,0/0,0,广东,2017-03-12
李慕豪,21,38:33,是,7-8,0-0,6-12,6,5,1,2,0,1,1,0,7,0/0,20,深圳,2017-03-12
马齐-兰佩,30,37:32,是,5-14,2-3,3-6,2,10,1,1,2,1,0,0,4,0/0,19,深圳,2017-03-12
顾全,12,35:29,是,1-3,2-6,4-4,1,5,2,4,0,2,0,0,3,0/0,12,深圳,2017-03-12
孟铎,3,23:35,是,0-1,0-3,0-0,0,1,1,6,1,1,0,0,1,0/0,0,深圳,2017-03-12
罗汉琛,9,10:00,是,0-0,0-1,0-0,0,1,0,0,0,0,0,0,1,0/0,0,深圳,2017-03-12
杰里米-帕戈,2,34:28,否,8-18,1-5,4-7,0,4,4,4,0,0,0,0,5,1/1,23,深圳,2017-03-12
代怀博,22,13:28,否,1-1,1-2,1-2,0,1,0,2,0,3,1,0,1,0/0,6,深圳,2017-03-12
赵捷,24,20:13,否,0-1,2-5,0-0,1,2,1,0,1,1,0,0,1,0/0,6,深圳,2017-03-12
何忠勉,20,23:10,否,0-1,0-2,2-4,0,3,1,2,3,0,0,0,7,0/0,2,深圳,2017-03-12
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,2,0,0,0,0/0,0,深圳,2017-03-12
