player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
尼克尔森,44,48,是,7-15,2-3,5-6,3,12,1,2,2,2,1,1,4,0/0,25,广东,2017-12-15
周鹏,11,42,是,4-11,4-11,0-1,3,7,6,4,2,1,0,0,3,0/0,20,广东,2017-12-15
易建联,9,30,是,4-13,0-2,2-2,0,2,2,1,0,1,3,1,3,0/0,10,广东,2017-12-15
杨金蒙,17,29,是,2-3,1-5,0-0,2,0,2,4,1,1,0,0,0,0/0,7,广东,2017-12-15
胡明轩,16,16,是,0-0,1-2,0-0,2,1,2,3,3,3,0,0,2,0/0,3,广东,2017-12-15
周湛东,3,27,否,0-2,2-5,4-4,1,2,2,4,3,0,0,0,3,0/0,10,广东,2017-12-15
埃德温-杰克逊,1,24,否,2-6,2-4,0-0,2,3,4,1,0,1,0,0,1,0/0,10,广东,2017-12-15
任骏飞,20,17,否,2-2,0-0,3-4,2,2,1,0,1,0,0,0,2,0/0,7,广东,2017-12-15
王薪凯,5,3,否,0-0,0-0,0-0,1,1,0,0,1,0,0,0,0,0/0,0,广东,2017-12-15
曾繁日,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-15
李佳益,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-15
赵戌宏,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-15
徐铭智,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-15
赵睿,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-15
邵英伦,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-15
哈里斯,33,34,是,3-5,5-9,2-3,3,12,2,2,0,2,0,0,2,0/0,23,福建,2017-12-15
赵泰隆,73,34,是,1-4,2-8,2-2,1,1,2,1,0,1,0,0,2,0/0,10,福建,2017-12-15
王哲林,31,40,是,3-5,0-0,2-2,4,10,2,2,1,4,0,1,4,0/0,8,福建,2017-12-15
陈林坚,15,34,是,2-3,1-9,0-0,0,2,1,3,0,0,0,0,0,0/0,7,福建,2017-12-15
李江淮,5,12,是,0-1,0-0,0-0,1,1,1,1,1,2,0,0,0,0/0,0,福建,2017-12-15
史密斯,2,37,否,11-17,2-6,5-7,0,7,4,2,3,5,1,2,11,0/0,33,福建,2017-12-15
黄毅超,14,23,否,1-3,1-6,0-0,2,1,0,3,1,1,0,0,0,0/0,5,福建,2017-12-15
蔡晨,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-15
田桂森,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-15
谢亚财,30,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-15
杨凯,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-15
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-15
孙椿棚,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-15
王增杰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-15
孙喆,17,19,否,0-2,0-0,0-0,0,2,0,4,0,0,3,0,0,0/0,0,福建,2017-12-15
周启新,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-15
何重达,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-15
郭磊,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-15
