player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
易建联,9,36,是,8-14,0-0,6-10,3,4,1,2,1,1,1,2,8,0/0,22,广东,2018-04-03
唐纳德-斯隆,23,38,是,4-9,1-8,3-3,0,6,6,2,2,3,0,0,2,0/0,14,广东,2018-04-03
周鹏,11,40,是,3-9,1-5,2-6,1,0,3,1,0,3,1,0,4,0/0,11,广东,2018-04-03
赵睿,0,32,是,1-1,2-4,0-0,0,6,2,4,0,3,0,0,0,0/0,8,广东,2018-04-03
任骏飞,20,30,是,0-2,1-2,0-0,0,2,0,4,2,0,0,0,0,0/0,3,广东,2018-04-03
尼克尔森,44,33,否,7-9,2-8,4-5,5,10,0,1,0,3,0,2,4,0/0,24,广东,2018-04-03
邵英伦,13,1,否,1-1,0-0,0-0,0,0,0,0,0,0,0,1,0,0/0,2,广东,2018-04-03
周湛东,3,22,否,0-0,0-2,0-0,0,3,1,2,2,0,0,0,1,0/0,0,广东,2018-04-03
杨金蒙,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-04-03
徐铭智,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-04-03
李佳益,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-04-03
曾繁日,22,1,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,广东,2018-04-03
王薪凯,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-04-03
赵戌宏,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-04-03
胡明轩,16,2,否,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0,0/0,0,广东,2018-04-03
哈德森,14,38,是,7-11,4-10,3-3,3,10,5,2,3,2,1,0,4,0/0,29,辽宁,2018-04-03
郭艾伦,13,35,是,5-8,1-6,3-5,0,2,4,2,0,1,0,0,4,0/0,16,辽宁,2018-04-03
韩德君,55,28,是,6-9,0-0,2-3,1,7,0,4,1,1,0,0,3,0/0,14,辽宁,2018-04-03
刘志轩,11,34,是,1-3,3-5,0-0,0,1,3,1,1,1,0,0,1,0/0,11,辽宁,2018-04-03
李晓旭,22,28,是,0-4,1-2,0-0,2,4,0,4,1,1,0,0,0,0/0,3,辽宁,2018-04-03
巴斯,30,32,否,8-14,0-0,2-2,0,10,2,2,2,2,1,0,2,0/0,18,辽宁,2018-04-03
赵继伟,3,23,否,1-1,0-2,1-2,1,2,3,3,2,1,0,0,2,0/0,3,辽宁,2018-04-03
钟诚,9,6,否,1-1,0-1,0-0,0,0,0,1,1,0,0,0,0,0/0,2,辽宁,2018-04-03
杨鸣,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-04-03
张宗睿,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-04-03
刘大为,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-04-03
贺天举,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-04-03
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-04-03
丛明晨,10,11,否,0-0,0-1,0-0,2,1,0,0,0,3,0,0,0,0/0,0,辽宁,2018-04-03
赵率舟,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-04-03
卫猛,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-04-03
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-04-03
