player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
易建联,9,36,是,8-13,1-2,16-17,3,8,4,4,2,1,1,1,13,0/0,35,广东,2018-01-23
周鹏,11,39,是,4-6,2-6,2-4,1,3,4,1,1,1,0,0,2,0/0,16,广东,2018-01-23
杨金蒙,17,29,是,1-1,4-5,0-0,1,1,0,5,1,0,0,0,0,0/0,14,广东,2018-01-23
赵睿,0,33,是,0-2,3-4,0-0,1,4,5,5,1,0,1,0,1,0/0,9,广东,2018-01-23
尼克尔森,44,28,是,2-5,1-8,0-0,0,2,0,5,0,2,0,1,0,0/0,7,广东,2018-01-23
任骏飞,20,28,否,8-10,0-1,4-4,4,5,5,0,1,1,2,1,2,0/0,20,广东,2018-01-23
达柳斯-莫里斯,2,29,否,6-11,1-3,3-6,1,3,3,2,2,1,0,0,7,0/0,18,广东,2018-01-23
赵戌宏,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-23
王薪凯,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-23
曾繁日,22,4,否,0-3,0-0,0-0,1,2,0,0,0,1,0,0,1,0/0,0,广东,2018-01-23
李佳益,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-23
周湛东,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-23
徐铭智,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-23
胡明轩,16,9,否,0-1,0-1,0-0,0,1,0,2,0,1,0,0,0,0/0,0,广东,2018-01-23
邵英伦,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-23
吉布森,22,38,是,4-9,7-13,6-7,3,9,3,3,2,4,0,0,8,0/0,35,青岛,2018-01-23
刘书楠,7,40,是,5-11,0-1,4-6,0,3,1,3,0,1,0,0,3,0/0,14,青岛,2018-01-23
王庆明,32,28,是,4-6,0-0,0-0,1,0,1,3,1,1,0,0,1,0/0,8,青岛,2018-01-23
许家晗,3,30,是,3-3,0-2,1-1,0,1,2,3,0,2,0,0,2,0/0,7,青岛,2018-01-23
苏伟,9,21,是,1-1,0-0,1-2,0,2,1,2,0,2,0,0,1,0/0,3,青岛,2018-01-23
詹姆斯-梅斯,40,33,否,6-13,2-6,4-7,6,3,3,4,1,0,2,1,6,0/0,22,青岛,2018-01-23
高尚,0,7,否,1-1,1-2,0-0,0,0,0,2,0,0,0,0,1,0/0,5,青岛,2018-01-23
丁皓然,33,7,否,2-2,0-2,0-0,2,1,0,0,0,0,0,0,0,0/0,4,青岛,2018-01-23
张骋宇,6,16,否,2-5,0-2,0-0,0,2,1,3,0,0,0,0,0,0/0,4,青岛,2018-01-23
田嘉夫,14,4,否,1-1,0-0,0-0,1,1,0,1,0,0,2,0,0,0/0,2,青岛,2018-01-23
刘鸿博,91,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-23
孙杰,17,10,否,0-1,0-1,0-0,0,0,1,3,1,0,0,0,2,0/0,0,青岛,2018-01-23
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-23
张昊,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-23
刁成灏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-23
赵捷,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-23
宗赞,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-23
单梓桐,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-23
