player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
福特森,4,27,是,7-11,3-4,6-7,0,7,9,3,3,1,0,0,6,0/0,29,广厦,2017-11-30
胡金秋,21,29,是,12-15,0-0,2-2,5,7,1,3,0,2,1,0,4,0/0,26,广厦,2017-11-30
苏若禹,5,27,是,7-8,0-0,2-2,3,2,1,2,0,1,2,1,1,0/0,16,广厦,2017-11-30
刘铮,11,29,是,5-6,1-2,0-0,0,2,1,0,1,2,0,1,0,0/0,13,广厦,2017-11-30
赵岩昊,25,28,是,1-4,1-4,1-2,2,1,2,0,2,2,0,0,5,0/0,6,广厦,2017-11-30
博洛西斯,29,18,否,4-11,0-0,7-10,4,6,1,3,0,2,1,0,7,0/0,15,广厦,2017-11-30
孙铭徽,17,31,否,2-3,0-0,4-4,1,1,3,2,2,3,0,0,4,0/0,8,广厦,2017-11-30
赵天熠,15,10,否,2-2,0-0,2-2,0,4,0,1,0,1,0,0,1,0/0,6,广厦,2017-11-30
鞠鹏,12,9,否,1-2,0-0,4-4,1,3,1,2,1,0,0,0,3,0/0,6,广厦,2017-11-30
李京龙,9,27,否,0-0,1-7,2-2,0,4,0,2,1,0,0,0,1,0/0,5,广厦,2017-11-30
姜文,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-30
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-30
林志杰,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-30
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-30
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-30
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-30
雷蒙,11,38,是,4-10,3-9,4-5,1,0,2,5,0,3,0,0,2,0/0,21,八一,2017-11-30
田宇翔,7,32,是,3-6,4-4,2-4,1,0,4,4,4,2,0,0,4,0/0,20,八一,2017-11-30
刘航初,9,41,是,5-9,2-4,3-4,1,1,5,4,1,1,1,0,3,0/0,19,八一,2017-11-30
张祖铭,20,41,是,3-3,4-7,0-0,1,3,2,6,1,0,0,1,0,0/0,18,八一,2017-11-30
付豪,1,25,是,5-10,0-0,1-2,2,3,0,3,0,0,1,0,2,0/0,11,八一,2017-11-30
宁鸿宇,16,26,否,3-7,0-1,2-2,0,2,0,4,1,3,1,1,3,0/0,8,八一,2017-11-30
罗凯文,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-30
李天戈,6,16,否,0-0,0-1,0-2,0,2,2,4,0,2,0,0,1,0/0,0,八一,2017-11-30
曹岩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-30
王俊霖,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-30
邹雨宸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-30
缪光旸,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-30
余晨,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-30
许钟豪,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-30
德勒黑,22,2,否,0-0,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,八一,2017-11-30
阿尔斯兰,5,15,否,0-1,0-6,0-0,1,3,0,1,1,0,0,0,2,0/0,0,八一,2017-11-30
