player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
胡金秋,21,21,是,8-12,0-1,3-3,0,4,0,0,0,0,1,2,2,0/0,19,广厦,2017-12-29
福特森,4,36,是,2-7,1-5,4-4,2,5,15,1,3,6,0,0,4,0/0,11,广厦,2017-12-29
刘铮,11,19,是,4-9,1-2,0-0,1,0,1,1,5,1,0,1,1,0/0,11,广厦,2017-12-29
林志杰,27,17,是,3-3,0-2,2-2,1,2,0,2,2,0,0,0,1,0/0,8,广厦,2017-12-29
苏若禹,5,17,是,3-3,0-0,0-0,0,2,1,2,1,2,0,0,0,0/0,6,广厦,2017-12-29
博洛西斯,29,30,否,8-9,1-2,7-8,1,16,2,3,2,0,0,1,4,0/0,26,广厦,2017-12-29
赵岩昊,25,30,否,4-5,0-1,2-2,0,2,3,1,2,0,0,0,2,0/0,10,广厦,2017-12-29
李京龙,9,30,否,1-2,2-7,0-0,0,1,1,2,0,1,0,0,0,0/0,8,广厦,2017-12-29
赵天熠,15,16,否,2-3,0-0,4-5,0,2,0,1,2,1,0,0,3,0/0,8,广厦,2017-12-29
鞠鹏,12,10,否,2-3,0-2,0-0,0,1,0,1,0,1,0,0,0,0/0,4,广厦,2017-12-29
李斌,8,10,否,0-0,0-1,1-2,0,1,0,1,0,0,0,0,1,0/0,1,广厦,2017-12-29
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-29
姜文,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-29
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-29
孙铭徽,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-29
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-29
韦弗,13,35,是,5-13,2-6,2-2,1,2,3,0,1,3,2,0,3,0/0,18,吉林,2017-12-29
张彪,14,28,是,6-7,0-0,2-2,1,3,1,3,1,6,0,0,2,0/0,14,吉林,2017-12-29
崔晋铭,5,38,是,4-6,0-2,2-3,1,4,0,4,2,3,0,0,2,0/0,10,吉林,2017-12-29
高诗岩,0,28,是,4-11,0-2,0-0,1,4,2,2,1,4,0,0,0,0/0,8,吉林,2017-12-29
代怀博,22,22,是,2-2,1-3,0-0,0,3,1,1,0,2,0,0,0,0/0,7,吉林,2017-12-29
兰德里,24,31,否,8-11,0-0,3-8,3,7,0,2,2,2,0,1,7,0/0,19,吉林,2017-12-29
柴长易,6,27,否,1-3,1-8,0-0,0,2,2,1,0,2,0,0,1,0/0,5,吉林,2017-12-29
蔡李龙,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-29
李安,4,7,否,0-1,0-0,0-0,0,2,0,3,0,1,0,0,0,0/0,0,吉林,2017-12-29
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-29
耿铭旸,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-29
廉明,10,7,否,0-0,0-0,0-0,1,2,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-29
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-29
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-29
刘天意,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-29
姚天一,3,13,否,0-0,0-4,0-0,0,0,1,2,0,0,0,0,0,0/0,0,吉林,2017-12-29
