player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
福特森,4,33,是,5-10,6-7,3-4,1,6,12,2,1,1,0,0,3,0/0,31,广厦,2017-12-08
胡金秋,21,28,是,10-12,0-0,2-2,1,6,1,1,1,1,1,0,3,0/0,22,广厦,2017-12-08
苏若禹,5,24,是,7-8,0-0,4-4,3,4,1,3,1,0,1,1,3,0/0,18,广厦,2017-12-08
赵岩昊,25,22,是,1-4,4-6,4-6,0,1,2,6,0,1,1,0,3,0/0,18,广厦,2017-12-08
刘铮,11,27,是,3-5,1-3,1-1,1,2,3,2,5,1,0,1,2,0/0,10,广厦,2017-12-08
博洛西斯,29,30,否,8-11,1-5,2-2,2,7,1,1,1,0,0,1,2,0/0,21,广厦,2017-12-08
孙铭徽,17,30,否,3-5,0-1,5-7,1,5,3,3,0,3,0,2,4,0/0,11,广厦,2017-12-08
李京龙,9,30,否,2-2,2-8,1-1,0,3,1,0,0,1,1,0,1,0/0,11,广厦,2017-12-08
鞠鹏,12,12,否,2-3,0-1,0-0,1,0,1,3,0,1,0,0,0,0/0,4,广厦,2017-12-08
林志杰,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-08
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-08
姜文,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-08
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-08
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-08
赵天熠,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-08
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-08
J.J-希克森,44,44,是,11-20,0-1,11-12,4,9,1,4,2,3,2,0,9,0/0,33,同曦,2017-12-08
冯欣,66,14,是,3-4,1-2,0-0,0,2,1,1,0,1,0,0,0,0/0,9,同曦,2017-12-08
宋建骅,8,24,是,3-4,0-4,0-0,1,1,2,1,2,1,0,0,2,0/0,6,同曦,2017-12-08
郭一飞,10,27,是,1-3,0-2,3-4,1,1,0,1,0,1,0,0,2,0/0,5,同曦,2017-12-08
周仪翔,6,26,是,1-4,0-2,0-0,0,2,2,1,1,1,0,0,1,0/0,2,同曦,2017-12-08
琼斯,55,27,否,8-11,1-5,1-2,2,3,2,4,0,4,3,1,5,0/0,20,同曦,2017-12-08
张翌星,17,26,否,0-3,5-11,0-0,0,2,1,2,1,1,0,0,0,0/0,15,同曦,2017-12-08
于长春,16,23,否,0-3,3-4,0-0,0,1,0,2,0,1,0,0,1,0/0,9,同曦,2017-12-08
张财宝,22,14,否,0-1,1-1,2-2,0,2,1,3,0,2,0,0,1,0/0,5,同曦,2017-12-08
买尔丹,33,11,否,1-1,0-0,0-0,0,0,0,3,0,1,0,0,0,0/0,2,同曦,2017-12-08
杨力,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-08
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-08
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-08
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-08
王睿,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-08
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-08
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-08
巴赫拉米,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-08
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-08
唐正东,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-08
乔文瀚,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-08
