player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
福特森,4,36,是,9-13,2-6,6-10,1,5,11,1,3,6,1,0,11,0/0,30,广厦,2017-12-14
胡金秋,21,25,是,9-10,0-0,2-2,2,2,0,0,1,0,0,1,2,0/0,20,广厦,2017-12-14
苏若禹,5,16,是,3-4,0-0,1-1,1,1,0,1,1,0,1,0,1,0/0,7,广厦,2017-12-14
林志杰,27,11,是,0-0,1-2,3-4,0,1,1,1,1,1,0,0,3,0/0,6,广厦,2017-12-14
刘铮,11,26,是,2-2,0-1,1-1,0,4,1,1,2,2,1,0,2,0/0,5,广厦,2017-12-14
博洛西斯,29,33,否,8-9,2-5,3-5,4,13,6,4,2,3,0,1,5,0/0,25,广厦,2017-12-14
赵岩昊,25,23,否,2-3,2-2,0-0,0,3,0,0,0,0,1,0,1,0/0,10,广厦,2017-12-14
李京龙,9,19,否,1-1,2-9,0-1,0,2,0,0,1,1,0,0,1,0/0,8,广厦,2017-12-14
鞠鹏,12,10,否,1-2,0-1,0-0,2,4,0,1,1,0,0,0,0,0/0,2,广厦,2017-12-14
李斌,8,4,否,1-1,0-1,0-0,1,0,1,0,0,0,0,0,0,0/0,2,广厦,2017-12-14
孙铭徽,17,22,否,1-2,0-2,0-0,0,1,4,0,1,1,1,0,0,0/0,2,广厦,2017-12-14
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-14
姜文,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-14
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-14
赵天熠,15,9,否,0-3,0-0,0-0,0,0,0,3,0,1,0,0,0,0/0,0,广厦,2017-12-14
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-14
霍尔曼,32,33,是,5-8,0-0,3-3,3,4,0,4,2,5,2,0,5,0/0,13,天津,2017-12-14
时德帅,23,36,是,1-1,3-9,2-2,0,3,0,5,1,2,0,0,2,0/0,13,天津,2017-12-14
李荣培,7,19,是,2-4,0-3,0-0,0,1,2,5,0,3,1,0,0,0/0,4,天津,2017-12-14
张智涵,9,21,是,1-3,0-5,0-0,1,1,0,1,2,1,0,0,0,0/0,2,天津,2017-12-14
史仪,22,13,是,0-0,0-2,0-0,0,1,3,1,1,1,0,0,1,0/0,0,天津,2017-12-14
普-杰特,3,37,否,9-13,3-10,3-3,1,5,6,2,0,2,0,0,1,0/0,30,天津,2017-12-14
田野,17,31,否,0-2,4-10,0-0,0,0,7,2,2,1,0,0,0,0/0,12,天津,2017-12-14
徐磊,77,19,否,1-1,2-6,0-0,0,1,2,3,1,0,0,0,2,0/0,8,天津,2017-12-14
于刚,77,5,否,2-2,0-0,0-0,1,2,0,1,0,1,0,1,0,0/0,4,天津,2017-12-14
韩博林,6,20,否,0-0,1-3,0-0,2,1,2,2,2,1,0,0,1,0/0,3,天津,2017-12-14
陈卓,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-14
高森堡,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-14
田垒,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-14
孟祥龙,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-14
刘伟,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-14
张骥,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-14
张晓阳,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-14
金鑫,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2017-12-14
