player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
福特森,4,36,是,8-14,3-5,4-4,4,4,14,1,1,4,0,0,2,0/0,29,广厦,2018-12-11
胡金秋,21,25,是,8-9,0-0,1-1,1,6,0,2,0,1,2,1,2,0/0,17,广厦,2018-12-11
赵岩昊,25,29,是,2-7,1-3,2-2,3,1,3,1,0,1,3,0,1,0/0,9,广厦,2018-12-11
苏若禹,5,21,是,3-6,0-0,0-0,2,2,2,4,1,2,0,0,2,0/0,6,广厦,2018-12-11
林志杰,27,5,是,0-0,1-1,0-0,0,1,0,0,0,0,0,0,0,0/0,3,广厦,2018-12-11
博洛西斯,29,32,否,5-8,3-4,3-4,2,8,5,0,2,2,0,0,3,0/0,22,广厦,2018-12-11
李京龙,9,24,否,1-2,5-7,0-0,0,1,0,4,0,0,0,0,1,0/0,17,广厦,2018-12-11
刘铮,11,18,否,3-4,0-1,0-0,0,0,3,1,3,0,1,0,2,0/0,6,广厦,2018-12-11
孙铭徽,17,27,否,2-5,0-1,1-1,1,4,3,3,4,1,0,0,2,0/0,5,广厦,2018-12-11
赵天熠,15,13,否,1-4,0-0,0-0,1,2,2,3,1,0,0,0,0,0/0,2,广厦,2018-12-11
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-12-11
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-12-11
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-12-11
赵大鹏,30,2,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,广厦,2018-12-11
鞠鹏,12,2,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-12-11
贾诚,23,24,是,4-6,0-1,1-2,0,3,1,4,2,1,0,2,1,0/0,9,山东,2018-12-11
李泓翰,7,27,是,1-1,1-5,3-4,1,3,0,1,0,1,0,0,2,0/0,8,山东,2018-12-11
莫泰尤纳斯,12,11,是,1-2,0-1,4-4,0,3,1,1,2,2,1,1,5,0/0,6,山东,2018-12-11
张春军,27,15,是,1-3,1-1,0-0,0,1,1,0,0,1,0,0,0,0/0,5,山东,2018-12-11
张庆鹏,9,25,是,1-3,1-6,0-0,2,0,3,2,1,2,0,0,3,0/0,5,山东,2018-12-11
古德洛克,3,38,否,6-8,2-10,2-2,0,2,5,0,0,3,0,0,4,0/0,20,山东,2018-12-11
吴楠,38,28,否,0-1,2-5,3-4,0,1,1,3,0,6,1,0,3,0/0,9,山东,2018-12-11
朱荣振,35,20,否,4-5,0-1,0-0,0,4,0,3,1,1,2,2,0,0/0,8,山东,2018-12-11
吴轲,15,18,否,2-6,1-2,0-0,3,3,1,0,1,0,0,0,0,0/0,7,山东,2018-12-11
陶汉林,20,19,否,2-3,0-0,1-2,2,0,2,0,0,1,0,0,1,0/0,5,山东,2018-12-11
潘宁,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-11
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-11
王汝恒,24,8,否,0-0,0-2,0-0,0,0,0,1,0,1,0,0,0,0/0,0,山东,2018-12-11
张辉,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-11
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-12-11
