player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
福特森,4,32,是,8-18,0-4,7-7,2,3,13,2,2,1,0,0,5,0/0,23,广厦,2017-11-12
胡金秋,21,33,是,10-11,0-0,0-1,6,9,0,2,2,1,0,0,3,0/0,20,广厦,2017-11-12
赵岩昊,25,33,是,4-5,2-5,2-2,0,3,2,1,0,1,0,0,1,0/0,16,广厦,2017-11-12
苏若禹,5,17,是,2-7,0-0,1-2,3,2,0,0,0,0,0,0,1,0/0,5,广厦,2017-11-12
刘铮,11,31,是,1-3,0-0,0-0,0,3,3,1,3,2,0,0,0,0/0,2,广厦,2017-11-12
博洛西斯,29,30,否,7-9,4-9,1-2,1,8,3,3,0,2,1,1,3,0/0,27,广厦,2017-11-12
李京龙,9,28,否,0-2,2-4,4-5,2,1,0,4,0,2,0,0,4,0/0,10,广厦,2017-11-12
孙铭徽,17,15,否,2-4,0-0,2-2,0,2,1,0,2,0,0,0,2,0/0,6,广厦,2017-11-12
李斌,8,3,否,0-0,1-2,0-0,0,0,0,0,0,1,0,0,0,0/0,3,广厦,2017-11-12
鞠鹏,12,5,否,1-1,0-0,0-0,1,1,0,3,0,0,0,0,0,0/0,2,广厦,2017-11-12
赵天熠,15,9,否,0-2,0-0,1-2,0,0,0,2,0,0,0,0,2,0/0,1,广厦,2017-11-12
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-12
林志杰,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-12
姜文,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-12
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-12
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-12
尼克尔森,44,41,是,6-9,5-14,0-1,1,9,0,2,2,4,0,1,4,0/0,27,广东,2017-11-12
易建联,9,26,是,6-9,0-0,2-4,2,4,2,2,1,1,1,1,5,0/0,14,广东,2017-11-12
任骏飞,20,22,是,2-2,1-1,0-0,0,2,0,3,1,0,0,0,1,0/0,7,广东,2017-11-12
周鹏,11,31,是,2-6,0-4,2-2,0,3,0,1,1,2,0,0,1,0/0,6,广东,2017-11-12
胡明轩,16,24,是,0-1,0-3,1-2,1,2,3,3,0,3,1,0,1,0/0,1,广东,2017-11-12
埃德温-杰克逊,1,22,否,5-11,0-1,2-4,1,1,3,0,1,1,0,0,3,0/0,12,广东,2017-11-12
周湛东,3,23,否,2-2,2-4,1-2,1,2,2,3,0,1,0,0,1,0/0,11,广东,2017-11-12
曾繁日,22,6,否,1-1,1-1,0-2,2,0,0,1,0,0,0,1,1,0/0,5,广东,2017-11-12
邵英伦,13,13,否,1-2,0-0,1-3,2,0,2,2,1,0,0,0,1,0/0,3,广东,2017-11-12
杨金蒙,17,17,否,1-2,0-1,0-0,0,0,1,4,0,0,0,0,0,0/0,2,广东,2017-11-12
李佳益,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-11-12
王薪凯,5,9,否,0-1,0-2,0-0,0,1,1,0,0,0,0,0,0,0/0,0,广东,2017-11-12
赵戌宏,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-11-12
徐铭智,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-11-12
赵睿,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-11-12
