player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
福特森,4,45,是,17-23,2-11,8-9,0,7,14,4,1,7,0,0,15,0/0,48,广厦,2017-11-10
胡金秋,21,39,是,8-13,0-0,3-3,7,3,0,3,2,1,0,1,4,0/0,19,广厦,2017-11-10
赵岩昊,25,32,是,3-5,2-7,0-0,3,4,2,1,3,0,0,1,2,0/0,12,广厦,2017-11-10
刘铮,11,37,是,1-5,0-5,2-2,1,2,1,5,3,1,0,1,3,0/0,4,广厦,2017-11-10
苏若禹,5,15,是,2-2,0-0,0-1,3,2,0,6,1,1,0,0,1,0/0,4,广厦,2017-11-10
博洛西斯,29,26,否,4-10,2-5,2-4,3,2,2,2,1,4,1,0,2,0/0,16,广厦,2017-11-10
鞠鹏,12,15,否,2-6,1-3,1-2,4,2,0,3,0,0,0,0,1,0/0,8,广厦,2017-11-10
李京龙,9,22,否,0-1,1-3,0-0,1,3,0,2,1,0,0,0,0,0/0,3,广厦,2017-11-10
孙铭徽,17,4,否,1-1,0-0,0-0,0,0,0,1,1,0,1,0,0,0/0,2,广厦,2017-11-10
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-10
林志杰,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-10
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-10
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-10
赵天熠,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-10
姜文,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-10
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-10
弗格,18,45,是,8-13,10-21,12-14,0,2,6,5,1,5,0,0,11,0/0,58,广州,2017-11-10
桑尼,1,42,是,3-9,2-5,8-9,4,11,5,0,4,4,2,0,10,0/0,20,广州,2017-11-10
鞠明欣,8,20,是,4-5,1-2,0-0,2,1,1,1,2,1,0,0,0,0/0,11,广州,2017-11-10
罗旭东,9,28,是,1-3,1-1,0-0,2,1,1,5,1,1,0,0,0,0/0,5,广州,2017-11-10
郑准,50,12,是,0-0,0-1,0-0,0,2,0,2,0,1,1,0,0,0/0,0,广州,2017-11-10
汉斯布鲁,11,26,否,6-12,0-0,6-8,5,6,0,2,1,3,1,2,5,0/0,18,广州,2017-11-10
谷玥灼,7,5,否,0-0,1-2,0-0,0,0,0,2,0,0,0,0,0,0/0,3,广州,2017-11-10
陈盈骏,2,30,否,0-0,1-6,0-0,1,2,1,5,3,3,0,0,1,0/0,3,广州,2017-11-10
张帆,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-10
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-10
胡珑贸,15,6,否,0-0,0-1,0-0,0,0,0,3,0,0,0,0,0,0/0,0,广州,2017-11-10
范子铭,13,10,否,0-1,0-1,0-0,1,2,1,2,0,0,0,0,0,0/0,0,广州,2017-11-10
张晓磊,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-10
刘子豪,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-10
衡艺丰,21,5,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,广州,2017-11-10
朱旭航,10,4,否,0-1,0-0,0-0,1,1,0,1,0,1,0,0,0,0/0,0,广州,2017-11-10
郭凯,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-10
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-10
骆永轩,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-10
