player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
福特森,4,42:42,是,6-12,2-9,9-11,2,10,11,2,1,1,0,0,13,1/1,27,广厦,2016-12-02
胡金秋,21,31:22,是,9-14,0-0,2-2,4,5,0,1,2,0,1,1,1,0/0,20,广厦,2016-12-02
刘铮,11,26:40,是,6-9,0-2,2-2,0,4,1,3,2,1,0,0,1,4/4,14,广厦,2016-12-02
王征,13,20:36,是,4-7,0-0,0-0,1,3,0,3,0,1,0,1,0,0/0,8,广厦,2016-12-02
李京龙,9,32:56,是,0-3,2-8,0-0,3,0,1,1,2,2,0,0,2,0/0,6,广厦,2016-12-02
霍尔曼,32,25:54,否,8-11,0-0,2-2,5,8,0,3,1,2,0,2,3,0/0,18,广厦,2016-12-02
孙铭徽,17,06:42,否,3-5,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,6,广厦,2016-12-02
林志杰,27,29:42,否,1-3,0-3,1-1,0,1,4,5,1,0,0,0,1,0/0,3,广厦,2016-12-02
苏若禹,5,07:25,否,1-3,0-0,0-0,1,0,0,2,1,0,0,0,0,0/0,2,广厦,2016-12-02
赵大鹏,30,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2016-12-02
张伟,24,12:37,否,0-1,0-2,0-0,0,4,1,3,0,0,0,0,0,0/0,0,广厦,2016-12-02
姜文,6,03:24,否,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2016-12-02
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,广厦,2016-12-02
萨缪尔斯,24,32:54,是,6-15,0-1,8-11,1,3,0,2,0,3,0,1,7,0/0,20,江苏,2016-12-02
易立,8,23:31,是,5-6,0-1,0-0,1,3,1,2,1,0,0,1,2,2/2,10,江苏,2016-12-02
陈磊,22,30:15,是,2-4,0-4,3-3,0,3,0,1,1,1,0,0,2,0/0,7,江苏,2016-12-02
李原宇,16,14:21,是,0-2,0-0,1-2,1,3,0,2,0,2,0,0,1,0/0,1,江苏,2016-12-02
胡雪峰,55,23:50,是,0-1,0-3,0-0,0,3,4,4,1,0,0,0,0,0/0,0,江苏,2016-12-02
布鲁克斯,2,39:06,否,9-16,3-7,4-4,4,6,3,1,3,5,0,1,5,0/0,31,江苏,2016-12-02
柳伟,15,22:21,否,2-2,0-0,2-2,2,3,0,2,0,2,0,0,2,0/0,6,江苏,2016-12-02
刘亚晖,9,04:51,否,0-0,1-1,0-0,1,0,0,0,0,0,0,0,0,0/0,3,江苏,2016-12-02
常林,45,21:33,否,1-4,0-3,1-3,1,5,0,4,0,2,0,0,3,0/0,3,江苏,2016-12-02
侯逸凡,31,08:12,否,0-1,1-2,0-0,0,0,0,0,0,0,0,0,0,0/0,3,江苏,2016-12-02
常亚松,5,14:48,否,1-2,0-2,0-0,0,2,0,2,0,0,0,0,1,0/0,2,江苏,2016-12-02
曹飞,23,04:18,否,0-0,0-1,0-0,0,0,0,1,0,2,0,0,1,0/0,0,江苏,2016-12-02
未确认,--,--,--,0-0,0-0,0-0,1,4,0,0,0,1,0,0,0,0/0,0,江苏,2016-12-02
