player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
福特森,4,42,是,8-18,2-5,13-18,5,7,13,4,2,5,0,0,12,0/0,35,广厦,2017-12-26
胡金秋,21,26,是,13-15,0-0,5-6,1,2,0,2,2,3,0,3,6,0/0,31,广厦,2017-12-26
林志杰,27,20,是,0-0,2-4,0-0,1,1,1,3,0,0,0,0,1,0/0,6,广厦,2017-12-26
苏若禹,5,19,是,2-5,0-0,2-2,1,0,0,3,0,0,0,0,1,0/0,6,广厦,2017-12-26
刘铮,11,15,是,3-4,0-0,0-0,1,3,2,2,2,1,0,0,2,0/0,6,广厦,2017-12-26
博洛西斯,29,29,否,3-10,3-8,3-4,2,11,3,2,2,0,2,0,3,0/0,18,广厦,2017-12-26
赵岩昊,25,22,否,2-4,2-3,0-0,1,0,1,2,0,0,0,0,0,0/0,10,广厦,2017-12-26
李京龙,9,22,否,1-3,1-3,0-0,0,2,2,0,0,0,0,0,0,0/0,5,广厦,2017-12-26
孙铭徽,17,19,否,1-3,0-1,0-1,1,2,0,1,3,2,1,0,1,0/0,2,广厦,2017-12-26
鞠鹏,12,5,否,0-1,0-1,0-0,0,0,0,2,0,0,0,0,0,0/0,0,广厦,2017-12-26
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-26
姜文,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-26
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-26
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-26
赵天熠,15,15,否,0-2,0-0,0-0,1,1,0,2,1,0,0,0,0,0/0,0,广厦,2017-12-26
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-26
威姆斯,13,40,是,10-19,4-5,4-5,1,7,7,4,1,4,0,0,7,0/0,36,浙江,2017-12-26
张大宇,24,28,是,5-9,0-0,3-3,0,4,1,1,1,2,2,1,5,0/0,13,浙江,2017-12-26
吴前,33,36,是,1-8,1-9,5-5,2,2,6,5,1,2,0,0,3,0/0,10,浙江,2017-12-26
张永鹏,76,25,是,3-7,0-0,0-0,2,4,0,2,1,2,0,0,1,0/0,6,浙江,2017-12-26
程帅澎,6,5,是,1-1,0-1,0-0,0,0,0,2,1,1,0,0,0,0/0,2,浙江,2017-12-26
斯托克斯,12,31,否,8-16,0-0,3-6,7,9,3,3,1,4,0,1,4,0/0,19,浙江,2017-12-26
江凯,93,19,否,3-4,1-2,0-0,1,2,1,2,1,0,1,0,0,0/0,9,浙江,2017-12-26
付磊,3,32,否,0-0,2-5,3-3,2,0,0,4,1,0,0,0,2,0/0,9,浙江,2017-12-26
赖俊豪,17,10,否,2-2,0-2,0-0,1,5,0,0,0,1,0,0,1,0/0,4,浙江,2017-12-26
陆文博,8,6,否,0-0,1-1,0-0,0,0,0,3,0,0,0,0,0,0/0,3,浙江,2017-12-26
李宗翰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-26
张家丰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-26
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-26
刘泽一,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-26
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-26
惠龙儿,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-26
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-26
王奕博,7,2,否,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,0/0,0,浙江,2017-12-26
