player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
福特森,4,40,是,9-15,3-7,11-14,0,7,9,3,5,4,0,0,13,0/0,38,广厦,2018-03-18
胡金秋,21,28,是,5-9,0-0,1-1,2,4,3,4,2,1,2,0,4,0/0,11,广厦,2018-03-18
刘铮,11,20,是,1-4,2-3,3-4,2,3,3,1,2,0,0,0,2,0/0,11,广厦,2018-03-18
林志杰,27,18,是,3-3,0-4,1-2,0,1,0,1,0,2,0,0,1,0/0,7,广厦,2018-03-18
苏若禹,5,23,是,3-4,0-0,0-0,2,2,1,3,0,1,0,0,1,0/0,6,广厦,2018-03-18
赵岩昊,25,20,否,5-8,1-4,0-0,1,3,0,3,0,1,0,0,1,0/0,13,广厦,2018-03-18
孙铭徽,17,19,否,2-2,1-1,2-2,1,1,0,3,1,1,0,0,1,0/0,9,广厦,2018-03-18
李京龙,9,25,否,0-1,1-4,0-0,1,3,0,2,0,0,0,0,0,0/0,3,广厦,2018-03-18
赵天熠,15,14,否,1-2,0-0,0-0,0,0,1,2,0,2,0,0,0,0/0,2,广厦,2018-03-18
博洛西斯,29,29,否,0-2,0-2,1-2,0,7,4,3,3,1,2,0,2,0/0,1,广厦,2018-03-18
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-03-18
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-03-18
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-03-18
鞠鹏,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-03-18
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-03-18
姜文,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-03-18
萨林杰,0,38,是,8-14,2-8,7-8,4,12,5,1,2,4,1,0,9,0/0,29,深圳,2018-03-18
李慕豪,9,35,是,2-4,0-1,1-4,1,3,0,5,2,3,0,0,4,0/0,5,深圳,2018-03-18
何忠勉,20,22,是,0-1,1-2,2-4,1,2,1,2,2,2,0,0,2,0/0,5,深圳,2018-03-18
于德豪,19,27,是,0-2,0-3,2-2,2,3,2,3,1,1,0,0,1,0/0,2,深圳,2018-03-18
郭晓鹏,1,4,是,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-03-18
杨林祎,6,28,否,1-1,5-8,0-0,0,2,1,5,0,0,0,0,0,0/0,17,深圳,2018-03-18
卢艺文,55,20,否,3-5,1-3,2-2,3,2,0,2,0,1,0,0,1,0/0,11,深圳,2018-03-18
泰瑞斯-莱斯,4,29,否,3-8,1-7,0-0,0,1,2,1,2,1,0,0,4,0/0,9,深圳,2018-03-18
邱彪,13,12,否,1-3,1-3,2-2,1,1,2,1,0,1,0,0,1,0/0,7,深圳,2018-03-18
白昊天,10,10,否,0-0,1-2,1-2,1,0,1,4,0,2,1,0,2,0/0,4,深圳,2018-03-18
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-03-18
沈梓捷,11,9,否,0-0,0-0,0-0,0,1,0,0,1,2,0,0,1,0/0,0,深圳,2018-03-18
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-03-18
李想,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-03-18
韩驭丰,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-03-18
王昱尧,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-03-18
顾全,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-03-18
张凯,7,2,否,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,深圳,2018-03-18
孟铎,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-03-18
