player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
福特森,4,39:42,是,6-16,2-9,5-7,6,5,10,2,2,6,0,0,7,1/1,23,广厦,2016-12-23
胡金秋,21,28:49,是,10-15,0-1,2-3,6,11,0,1,1,2,1,2,3,2/2,22,广厦,2016-12-23
李京龙,9,30:12,是,1-3,3-9,0-0,1,3,0,2,0,2,0,0,1,0/0,11,广厦,2016-12-23
林志杰,27,30:14,是,3-6,1-4,0-0,0,1,1,4,4,2,0,0,2,1/1,9,广厦,2016-12-23
王征,13,09:48,是,0-1,0-0,0-0,1,2,0,0,0,2,0,0,0,0/0,0,广厦,2016-12-23
霍尔曼,32,30:41,否,9-14,0-0,1-1,4,9,0,2,4,1,4,3,3,3/3,19,广厦,2016-12-23
苏若禹,5,19:11,否,6-10,0-1,1-1,3,1,1,3,1,3,1,0,3,1/1,13,广厦,2016-12-23
张伟,24,21:53,否,2-3,0-3,4-5,2,2,3,0,1,0,0,1,3,1/1,8,广厦,2016-12-23
孙铭徽,17,21:59,否,0-2,1-1,1-2,0,2,1,4,1,1,0,0,2,0/0,4,广厦,2016-12-23
姜文,6,07:31,否,0-2,1-2,0-0,1,0,1,2,1,1,0,0,0,0/0,3,广厦,2016-12-23
未确认,--,--,--,0-0,0-0,0-0,3,3,0,0,0,0,0,0,0,0/0,0,广厦,2016-12-23
王哲林,31,34:28,是,7-15,0-0,5-7,3,8,3,1,2,0,1,1,6,1/1,19,福建,2016-12-23
德怀特-拜克斯,38,30:41,是,3-13,3-4,0-0,1,1,3,1,3,4,0,0,1,0/0,15,福建,2016-12-23
赵泰隆,9,34:24,是,0-2,4-7,0-0,0,1,1,4,2,3,0,0,0,0/0,12,福建,2016-12-23
黄毅超,14,26:25,是,1-2,1-5,0-0,0,1,0,5,1,2,0,0,0,0/0,5,福建,2016-12-23
孙椿棚,13,11:35,是,1-2,0-0,0-0,0,2,0,2,1,0,0,0,1,0/0,2,福建,2016-12-23
J.J-希克森,21,36:57,否,8-22,0-0,3-6,7,12,1,4,3,6,1,0,5,0/0,19,福建,2016-12-23
胡珑贸,10,22:05,否,1-1,0-2,5-6,0,1,1,4,1,4,0,0,4,0/0,7,福建,2016-12-23
孙喆,41,10:44,否,0-1,0-0,2-2,1,2,0,0,0,1,2,0,1,0/0,2,福建,2016-12-23
李江淮,5,18:00,否,1-5,0-1,0-0,2,0,1,2,1,0,1,0,1,0/0,2,福建,2016-12-23
周启新,1,10:16,否,1-2,0-0,0-0,0,1,0,1,0,2,1,0,1,1/1,2,福建,2016-12-23
王增杰,23,04:25,否,1-4,0-0,0-0,1,0,0,0,0,1,0,0,0,0/0,2,福建,2016-12-23
未确认,--,--,--,0-0,0-0,0-0,2,4,0,0,0,1,0,0,0,0/0,0,福建,2016-12-23
