player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
福特森,4,46:55,是,7-12,2-9,8-9,2,2,7,4,4,6,0,0,12,0/0,28,广厦,2017-03-01
刘铮,11,36:48,是,9-10,3-10,0-3,1,2,0,3,4,2,0,1,3,2/2,27,广厦,2017-03-01
林志杰,27,37:17,是,4-7,0-7,5-5,1,4,4,1,0,1,0,0,3,0/0,13,广厦,2017-03-01
胡金秋,21,41:14,是,3-5,0-0,5-7,4,5,1,0,0,1,0,1,4,0/0,11,广厦,2017-03-01
王征,13,25:11,是,1-3,0-0,0-0,2,4,0,2,2,2,0,0,0,0/0,2,广厦,2017-03-01
霍尔曼,32,24:00,否,4-6,0-0,5-5,1,5,0,2,1,0,0,0,6,0/0,13,广厦,2017-03-01
孙铭徽,17,01:05,否,0-0,1-1,0-0,0,0,0,1,1,0,0,0,0,0/0,3,广厦,2017-03-01
苏若禹,5,05:35,否,1-1,0-0,0-0,0,1,0,3,0,0,0,0,0,0/0,2,广厦,2017-03-01
赵岩昊,25,07:10,否,0-2,0-2,1-2,1,0,0,0,1,1,0,0,3,0/0,1,广厦,2017-03-01
李京龙,9,14:45,否,0-2,0-6,0-0,0,1,0,1,0,0,0,0,0,0/0,0,广厦,2017-03-01
未确认,--,--,--,0-0,0-0,0-0,4,2,0,0,0,0,0,0,0,0/0,0,广厦,2017-03-01
郭艾伦,13,38:50,是,10-12,3-8,4-5,1,6,2,4,3,2,0,0,4,2/2,33,辽宁,2017-03-01
哈德森,14,43:40,是,8-11,5-10,2-2,2,4,4,4,4,6,1,0,3,2/2,33,辽宁,2017-03-01
韩德君,55,36:14,是,6-11,0-0,2-2,6,15,1,4,1,2,1,3,2,1/1,14,辽宁,2017-03-01
刘志轩,11,24:45,是,2-4,1-4,0-0,0,2,2,2,1,1,0,0,0,0/0,7,辽宁,2017-03-01
廉明,21,27:11,是,0-2,0-0,0-0,4,1,1,6,0,3,0,0,0,0/0,0,辽宁,2017-03-01
兰多夫,42,27:33,否,5-9,1-5,2-8,2,4,2,4,0,0,0,1,6,0/0,15,辽宁,2017-03-01
赵继伟,3,34:58,否,3-4,2-5,0-0,1,3,4,5,1,2,0,0,2,0/0,12,辽宁,2017-03-01
杨鸣,12,01:00,否,0-0,1-1,0-0,0,0,0,0,0,1,0,0,0,0/0,3,辽宁,2017-03-01
卫猛,23,05:02,否,0-1,0-0,0-0,0,0,1,2,1,0,0,0,0,0/0,0,辽宁,2017-03-01
高诗岩,1,00:47,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-03-01
未确认,--,--,--,0-0,0-0,0-0,2,1,0,0,0,0,0,0,0,0/0,0,辽宁,2017-03-01
