player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
克里斯顿,0,32,是,9-14,0-2,1-2,2,5,7,3,3,0,1,2,1,0/0,19,广州,2018-01-05
范子铭,13,19,是,3-6,0-1,7-8,0,3,0,6,0,1,0,0,5,0/0,13,广州,2018-01-05
朱旭航,10,25,是,4-7,0-1,5-6,2,1,1,3,3,1,0,0,3,0/0,13,广州,2018-01-05
胡珑贸,15,29,是,3-6,1-1,2-2,4,2,1,3,2,3,0,0,3,0/0,11,广州,2018-01-05
罗旭东,9,27,是,3-9,0-1,4-4,0,4,3,2,2,1,0,0,4,0/0,10,广州,2018-01-05
汉斯布鲁,11,14,否,5-9,0-0,13-15,4,2,0,2,1,0,0,1,9,0/0,23,广州,2018-01-05
郭凯,14,18,否,3-3,0-1,2-2,3,2,1,5,0,1,1,0,1,0/0,8,广州,2018-01-05
郑准,50,16,否,3-3,0-0,2-3,1,4,0,1,1,0,1,0,2,0/0,8,广州,2018-01-05
鞠明欣,8,10,否,3-5,0-0,0-0,1,1,0,2,0,1,0,0,0,0/0,6,广州,2018-01-05
张帆,23,30,否,2-4,0-2,0-0,1,3,1,1,1,2,0,0,0,0/0,4,广州,2018-01-05
衡艺丰,21,8,否,2-2,0-2,0-0,0,0,0,0,0,2,0,0,0,0/0,4,广州,2018-01-05
谷玥灼,7,5,否,1-2,0-0,0-0,0,2,0,1,0,0,0,1,0,0/0,2,广州,2018-01-05
陈盈骏,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-05
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-05
桑尼,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-05
张晓磊,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-05
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-05
刘子豪,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-05
骆永轩,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-05
张祖铭,20,33,是,2-2,4-7,0-0,2,2,0,4,0,0,0,0,0,0/0,16,八一,2018-01-05
田宇翔,7,35,是,1-3,3-4,3-4,0,2,4,4,1,1,0,0,6,0/0,14,八一,2018-01-05
许钟豪,24,36,是,2-8,0-0,9-10,0,1,3,4,1,6,1,0,10,0/0,13,八一,2018-01-05
付豪,1,16,是,4-6,0-0,2-2,1,2,0,2,0,0,0,0,3,0/0,10,八一,2018-01-05
雷蒙,11,31,是,0-3,2-6,3-4,0,2,5,1,0,2,0,0,3,0/0,9,八一,2018-01-05
刘航初,9,18,否,3-6,0-1,7-7,1,1,1,2,1,2,0,0,4,0/0,13,八一,2018-01-05
宁鸿宇,16,26,否,6-9,0-1,0-0,0,2,1,5,0,2,1,0,2,0/0,12,八一,2018-01-05
曹岩,8,25,否,2-3,2-6,0-1,2,2,1,4,0,3,0,0,1,0/0,10,八一,2018-01-05
李天戈,6,12,否,1-2,1-1,0-0,0,2,1,1,1,0,1,0,0,0/0,5,八一,2018-01-05
罗凯文,13,2,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,八一,2018-01-05
王俊霖,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-05
邹雨宸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-05
缪光旸,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-05
余晨,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-05
德勒黑,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-05
阿尔斯兰,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-05
