player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗格,18,39,是,7-11,4-10,10-10,1,4,5,3,1,2,0,0,9,0/0,36,广州,2017-11-14
桑尼,1,38,是,8-13,1-4,2-2,3,15,3,2,1,0,1,0,3,0/0,21,广州,2017-11-14
鞠明欣,8,19,是,2-3,2-5,0-0,0,1,0,4,0,2,0,0,0,0/0,10,广州,2017-11-14
罗旭东,9,17,是,1-2,0-1,2-2,0,1,1,4,0,0,0,0,1,0/0,4,广州,2017-11-14
郑准,50,12,是,0-3,1-1,0-0,1,1,0,2,1,1,0,0,1,0/0,3,广州,2017-11-14
汉斯布鲁,11,27,否,5-14,0-0,10-14,11,6,0,2,2,1,0,1,10,0/0,20,广州,2017-11-14
陈盈骏,2,29,否,1-2,3-6,0-0,0,0,2,3,3,0,0,0,1,0/0,11,广州,2017-11-14
胡珑贸,15,26,否,1-3,1-1,3-4,0,3,1,4,0,1,0,0,3,0/0,8,广州,2017-11-14
谷玥灼,7,10,否,1-2,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,2,广州,2017-11-14
刘子豪,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-14
范子铭,13,7,否,0-1,0-0,0-0,0,0,0,3,0,1,0,0,1,0/0,0,广州,2017-11-14
张帆,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-14
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-14
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-14
郭凯,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-14
朱旭航,10,9,否,0-4,0-1,0-0,0,1,0,0,1,0,0,0,0,0/0,0,广州,2017-11-14
衡艺丰,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-14
张晓磊,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-14
骆永轩,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-14
J.J-希克森,44,38,是,11-19,0-0,3-7,2,8,2,2,1,4,1,1,8,0/0,25,同曦,2017-11-14
巴赫拉米,14,37,是,2-4,4-8,4-6,3,7,1,5,0,2,0,0,6,0/0,20,同曦,2017-11-14
郭一飞,10,17,是,1-1,1-5,3-6,1,0,0,3,1,0,0,0,5,0/0,8,同曦,2017-11-14
冯欣,66,28,是,1-3,1-4,0-0,0,1,4,1,1,0,0,0,0,0/0,5,同曦,2017-11-14
杨力,19,12,是,1-1,0-0,0-0,0,0,2,1,0,1,0,0,0,0/0,2,同曦,2017-11-14
琼斯,55,33,否,3-8,1-9,7-8,1,7,5,3,0,2,0,1,4,0/0,16,同曦,2017-11-14
买尔丹,33,20,否,4-7,0-0,0-0,1,6,0,3,0,1,0,0,0,0/0,8,同曦,2017-11-14
宋建骅,8,10,否,0-0,1-2,1-2,1,0,0,4,0,2,1,0,1,0/0,4,同曦,2017-11-14
周仪翔,6,19,否,1-1,0-2,1-2,1,1,0,5,0,1,0,0,1,0/0,3,同曦,2017-11-14
唐正东,9,8,否,1-1,0-0,1-4,3,2,0,1,0,0,0,0,2,0/0,3,同曦,2017-11-14
于长春,16,12,否,1-1,0-0,0-0,0,1,2,1,0,0,1,0,0,0/0,2,同曦,2017-11-14
王睿,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-14
乔文瀚,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-14
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-14
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-14
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-14
张财宝,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-14
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-14
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-14
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-14
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-14
