player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
西热力江,20,35,是,2-4,6-13,0-0,2,4,5,5,2,1,0,0,1,0/0,22,广州,2018-10-28
斯贝茨,5,32,是,4-10,3-10,4-4,2,4,2,3,1,0,0,0,4,0/0,21,广州,2018-10-28
弗格,18,39,是,2-8,3-9,4-6,2,5,4,0,4,0,0,0,5,0/0,17,广州,2018-10-28
鞠明欣,8,22,是,2-2,0-1,3-4,0,2,1,3,0,1,0,0,3,0/0,7,广州,2018-10-28
张永鹏,33,38,是,3-3,0-1,0-0,2,6,2,4,1,0,0,2,3,0/0,6,广州,2018-10-28
陈盈骏,2,34,否,7-8,3-6,4-4,1,3,5,2,3,0,0,0,2,0/0,27,广州,2018-10-28
郭凯,14,25,否,5-7,0-0,0-0,3,2,1,4,0,0,1,0,0,0/0,10,广州,2018-10-28
谷玥灼,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-28
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-28
姚天一,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-28
宋帅,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-28
司坤,6,11,否,0-3,0-0,0-0,2,0,0,4,0,1,0,0,1,0/0,0,广州,2018-10-28
衡艺丰,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-28
李炎哲,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-28
郑准,50,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-28
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-28
田宇恒,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-10-28
富兰克林,11,41,是,4-10,1-5,16-17,3,3,9,2,0,2,1,0,10,0/0,27,四川,2018-10-28
贾森-汤普森,1,42,是,9-15,0-2,4-7,12,12,3,3,0,3,0,1,7,0/0,22,四川,2018-10-28
孟达,12,20,是,1-2,1-2,0-0,1,1,0,2,1,1,0,0,0,0/0,5,四川,2018-10-28
左朕年,13,17,是,0-1,1-4,1-2,0,1,0,2,0,0,0,0,1,0/0,4,四川,2018-10-28
黄荣奇,7,23,是,1-2,0-4,0-0,0,0,3,1,0,2,1,1,0,0/0,2,四川,2018-10-28
陈晓东,30,17,否,4-7,1-1,0-0,0,2,1,2,0,0,0,0,1,0/0,11,四川,2018-10-28
陈辰,32,19,否,4-5,1-3,0-0,3,2,0,0,0,1,0,0,0,0/0,11,四川,2018-10-28
王政博,16,22,否,0-1,2-6,0-0,0,2,0,2,0,1,0,0,3,0/0,6,四川,2018-10-28
杨越,6,12,否,1-3,1-1,0-0,0,0,1,2,1,1,0,0,2,0/0,5,四川,2018-10-28
曾文鼎,76,16,否,1-2,0-1,0-0,0,0,0,3,0,1,0,0,1,0/0,2,四川,2018-10-28
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-28
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-28
景菡一,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-28
莫蒙尘,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-28
胡林森,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-28
闵庆飞,21,4,否,0-0,0-1,0-0,0,3,0,0,0,0,0,0,0,0/0,0,四川,2018-10-28
袁振梁,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-28
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-28
张海阔,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-10-28
