player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
郑准,50,34:06,是,7-7,2-4,1-1,2,1,0,1,0,1,0,0,1,0/0,21,广州,2016-11-27
大卫-肯尼迪,17,34:29,是,4-12,1-3,8-10,5,6,7,1,2,1,0,0,8,1/2,19,广州,2016-11-27
范子铭,13,15:25,是,6-10,0-0,1-1,2,1,0,4,0,0,0,0,3,0/0,13,广州,2016-11-27
巴赫拉米,14,28:53,是,2-10,2-4,2-2,1,3,2,3,2,2,0,0,4,1/1,12,广州,2016-11-27
李学林,9,30:25,是,0-1,0-2,0-0,1,2,3,4,2,1,0,0,1,0/0,0,广州,2016-11-27
亚历克斯-史蒂芬森,33,32:35,否,6-17,0-0,3-4,6,7,1,4,0,0,1,3,3,1/1,15,广州,2016-11-27
鞠明欣,8,27:59,否,2-3,2-2,2-2,2,2,3,2,0,0,0,0,1,0/0,12,广州,2016-11-27
史鸿飞,4,17:34,否,0-0,3-5,0-0,0,2,3,5,1,3,0,0,0,0/0,9,广州,2016-11-27
朱旭航,10,13:54,否,1-2,0-0,2-2,2,1,0,0,0,1,1,0,2,0/1,4,广州,2016-11-27
刘子豪,25,04:40,否,0-0,1-1,0-0,0,1,0,1,1,1,0,0,0,0/0,3,广州,2016-11-27
未确认,--,--,--,0-0,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,广州,2016-11-27
萨尼-萨卡基尼,7,39:59,是,7-10,1-3,7-7,2,5,2,1,1,3,0,0,4,0/0,24,天津,2016-11-27
普-杰特,3,37:16,是,8-12,1-4,5-7,0,1,5,3,3,2,0,0,11,1/2,24,天津,2016-11-27
张智涵,9,22:20,是,2-4,0-1,0-0,3,0,0,1,0,2,0,0,0,0/0,4,天津,2016-11-27
孟祥龙,14,18:31,是,0-2,1-3,1-2,1,1,0,4,0,0,0,0,1,0/0,4,天津,2016-11-27
时德帅,23,12:55,是,0-1,0-0,1-2,0,2,0,1,0,2,0,0,3,0/0,1,天津,2016-11-27
杰里米-泰勒,8,34:44,否,5-19,0-0,5-6,4,10,1,4,1,3,0,1,5,1/1,15,天津,2016-11-27
张楠,11,25:40,否,2-4,2-2,0-0,0,1,1,4,0,2,0,0,0,0/0,10,天津,2016-11-27
李荣培,15,29:29,否,2-2,1-2,0-0,0,1,2,3,0,1,0,0,0,1/1,7,天津,2016-11-27
田垒,1,04:27,否,0-0,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,天津,2016-11-27
田野,4,10:44,否,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,0/0,0,天津,2016-11-27
张骥,13,03:55,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,天津,2016-11-27
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,天津,2016-11-27
