player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗格,18,44,是,9-15,5-12,19-27,1,4,3,5,3,5,0,0,20,0/0,52,广州,2018-01-18
桑尼,1,42,是,5-5,1-3,7-7,3,7,5,5,1,2,0,0,5,0/0,20,广州,2018-01-18
胡珑贸,15,19,是,3-3,1-1,1-2,0,0,1,6,0,1,0,0,1,0/0,10,广州,2018-01-18
罗旭东,9,35,是,1-5,2-5,2-2,0,1,1,3,3,1,0,0,1,0/0,10,广州,2018-01-18
范子铭,13,13,是,1-2,0-0,2-3,3,3,0,4,1,1,0,0,3,0/0,4,广州,2018-01-18
汉斯布鲁,11,27,否,5-9,0-0,8-9,2,2,1,1,3,2,0,1,8,0/0,18,广州,2018-01-18
郑准,50,13,否,3-4,0-0,2-2,0,2,0,1,0,0,0,0,2,0/0,8,广州,2018-01-18
谷玥灼,7,8,否,1-1,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,2,广州,2018-01-18
衡艺丰,21,16,否,1-2,0-1,0-0,0,1,1,6,0,2,0,1,0,0/0,2,广州,2018-01-18
郭凯,92,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-18
骆永轩,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-18
陈盈骏,2,19,否,0-1,0-1,0-0,1,1,2,4,2,2,0,0,1,0/0,0,广州,2018-01-18
张帆,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-18
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-18
朱旭航,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-18
鞠明欣,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-18
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-18
刘子豪,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-18
张晓磊,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-18
丁彦雨航,2,41,是,7-9,2-11,22-27,1,5,4,4,3,5,0,1,17,0/0,42,山东,2018-01-18
莫泰尤纳斯,12,26,是,9-10,1-1,1-4,4,7,5,4,0,5,0,0,7,0/0,22,山东,2018-01-18
王汝恒,24,21,是,0-2,2-6,2-2,1,0,0,2,2,1,0,0,1,0/0,8,山东,2018-01-18
睢冉,1,11,是,2-3,0-1,0-0,0,1,3,3,0,1,0,0,0,0/0,4,山东,2018-01-18
贾诚,32,5,是,0-0,0-0,0-0,1,0,0,6,0,1,0,0,0,0/0,0,山东,2018-01-18
泰-劳森,3,42,否,6-10,4-8,6-9,2,2,5,5,2,1,0,0,7,0/0,30,山东,2018-01-18
陶汉林,20,33,否,8-9,0-0,0-0,5,3,0,5,0,0,1,6,0,0/0,16,山东,2018-01-18
吴轲,15,29,否,0-0,0-3,1-2,0,3,1,4,2,0,3,0,2,0/0,1,山东,2018-01-18
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-18
张辉,4,4,否,0-1,0-1,0-0,0,0,0,3,0,0,0,0,0,0/0,0,山东,2018-01-18
李泓翰,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-18
张庆鹏,9,5,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-18
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-18
张春军,27,17,否,0-1,0-0,0-2,1,0,1,6,1,3,0,0,1,0/0,0,山东,2018-01-18
朱荣振,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-18
潘宁,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-18
焦海龙,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-01-18
