player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
巴赫拉米,14,39:53,是,6-10,5-10,8-9,1,4,1,4,1,4,0,0,9,0/0,35,广州,2016-12-16
大卫-肯尼迪,17,43:59,是,10-22,1-5,2-5,4,5,5,5,2,3,0,1,4,0/0,25,广州,2016-12-16
郑准,50,35:08,是,7-9,1-2,2-2,3,2,0,1,0,1,0,0,2,0/0,19,广州,2016-12-16
鞠明欣,8,16:47,是,3-6,0-0,0-0,1,4,0,4,1,1,0,0,2,1/1,6,广州,2016-12-16
范子铭,13,17:16,是,0-2,1-2,0-0,0,2,0,0,1,1,0,0,0,0/0,3,广州,2016-12-16
史鸿飞,4,22:18,否,1-2,2-2,0-0,0,0,5,0,1,3,0,0,0,1/1,8,广州,2016-12-16
亚历克斯-史蒂芬森,33,26:54,否,3-6,0-0,2-4,2,9,0,1,0,1,1,1,3,0/0,8,广州,2016-12-16
刘子豪,25,08:30,否,0-0,1-2,0-0,0,0,0,3,0,0,0,0,0,0/0,3,广州,2016-12-16
朱旭航,10,14:36,否,1-2,0-2,0-0,3,2,0,4,0,1,0,0,0,0/0,2,广州,2016-12-16
李学林,9,12:39,否,0-0,0-2,0-0,0,0,1,1,0,0,0,0,0,0/0,0,广州,2016-12-16
富兰克林,11,44:51,是,5-10,6-14,13-15,0,2,11,5,4,4,0,1,14,1/1,41,山西,2016-12-16
任骏威,21,44:21,是,3-5,2-3,0-0,1,4,1,3,3,2,1,0,3,0/0,12,山西,2016-12-16
原帅,7,14:15,是,1-2,0-0,0-0,0,0,0,2,1,1,0,0,0,1/1,2,山西,2016-12-16
张学文,33,16:48,是,0-2,0-2,0-0,1,1,1,2,0,0,0,0,0,0/0,0,山西,2016-12-16
侯兴宇,5,05:57,是,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,山西,2016-12-16
王磊,8,27:46,否,4-8,2-4,3-4,2,3,1,1,0,0,0,0,2,0/0,17,山西,2016-12-16
戴勒姆波特,1,27:09,否,5-11,0-2,3-5,6,8,2,3,0,1,1,3,3,0/0,13,山西,2016-12-16
闫鹏飞,9,18:48,否,6-10,0-0,0-0,1,1,1,3,0,0,1,1,0,0/0,12,山西,2016-12-16
曾令旭,6,28:30,否,4-4,1-1,1-2,2,0,0,0,0,1,0,0,1,1/1,12,山西,2016-12-16
罗智,10,04:38,否,0-0,1-2,0-0,0,1,0,0,0,2,0,0,0,0/0,3,山西,2016-12-16
王洪,4,03:07,否,0-1,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,山西,2016-12-16
田桂森,3,03:50,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,山西,2016-12-16
