player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
巴赫拉米,14,40:19,是,4-11,3-9,4-4,1,3,1,2,0,5,0,0,4,0/0,21,广州,2016-12-18
大卫-肯尼迪,17,43:38,是,6-12,0-4,9-10,1,9,7,2,1,4,0,0,8,0/0,21,广州,2016-12-18
鞠明欣,8,28:55,是,4-9,1-3,2-2,3,1,0,4,0,1,0,1,3,0/0,13,广州,2016-12-18
范子铭,13,25:19,是,3-6,1-1,2-4,0,1,0,1,1,0,0,0,5,0/0,11,广州,2016-12-18
郑准,50,20:52,是,2-3,0-4,0-0,0,5,1,1,1,2,0,0,1,0/0,4,广州,2016-12-18
史蒂芬森,33,27:29,否,3-5,0-0,0-2,2,2,0,5,0,4,0,1,1,0/0,6,广州,2016-12-18
郭凯,11,17:46,否,1-2,0-0,0-0,1,2,0,3,0,0,0,0,0,0/0,2,广州,2016-12-18
史鸿飞,4,12:03,否,0-1,0-2,2-2,0,0,0,0,0,0,0,0,0,0/0,2,广州,2016-12-18
朱旭航,10,04:34,否,0-0,0-1,0-0,0,0,0,1,0,1,0,0,0,0/0,0,广州,2016-12-18
李学林,9,19:05,否,0-1,0-0,0-0,1,2,2,1,0,0,0,0,0,0/0,0,广州,2016-12-18
易建联,9,36:44,是,10-14,0-2,8-10,2,8,0,1,3,0,4,3,10,0/0,28,广东,2016-12-18
唐纳德-斯隆,23,30:45,是,5-8,3-6,1-1,3,2,3,0,0,3,0,0,3,0/0,20,广东,2016-12-18
赵睿,0,26:12,是,4-7,1-1,2-2,0,2,1,1,1,1,0,0,1,0/0,13,广东,2016-12-18
周鹏,11,31:42,是,3-10,0-3,2-4,1,3,2,2,1,2,0,0,2,0/0,8,广东,2016-12-18
任骏飞,20,20:04,是,2-3,0-1,0-0,1,1,0,2,0,1,1,0,0,0/0,4,广东,2016-12-18
布泽尔,5,30:02,否,4-9,0-0,3-4,1,8,1,2,1,2,0,1,3,1/1,11,广东,2016-12-18
董瀚麟,16,07:21,否,3-3,0-0,0-0,1,1,0,1,0,0,0,1,0,0/0,6,广东,2016-12-18
陈江华,6,16:24,否,2-3,0-1,0-0,0,0,1,3,0,1,0,0,0,0/0,4,广东,2016-12-18
杨金蒙,17,10:36,否,1-1,0-0,1-1,0,1,1,3,1,0,0,0,1,0/0,3,广东,2016-12-18
高尚,3,21:18,否,1-2,0-0,0-0,0,0,0,3,0,1,0,0,0,0/0,2,广东,2016-12-18
邵英伦,12,04:13,否,1-1,0-0,0-0,0,1,0,4,0,0,0,0,0,0/0,2,广东,2016-12-18
徐铭智,30,04:35,否,0-0,0-1,0-0,0,1,0,0,0,0,0,0,0,0/0,0,广东,2016-12-18
