player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
克里斯顿,0,40,是,11-15,1-1,6-9,0,1,3,2,1,3,0,0,6,0/0,31,广州,2018-01-07
桑尼,1,42,是,5-9,0-5,5-7,1,7,4,2,3,2,1,0,7,0/0,15,广州,2018-01-07
范子铭,13,16,是,4-6,0-0,4-5,1,4,0,2,1,0,2,0,3,0/0,12,广州,2018-01-07
罗旭东,9,36,是,2-4,2-4,0-0,0,4,1,5,1,1,0,0,0,0/0,10,广州,2018-01-07
胡珑贸,15,2,是,0-0,0-0,0-0,0,0,1,1,0,0,0,0,0,0/0,0,广州,2018-01-07
汉斯布鲁,11,31,否,13-18,0-0,11-14,4,4,0,2,2,2,1,3,15,0/0,37,广州,2018-01-07
张帆,23,18,否,1-1,1-3,0-0,1,1,0,2,0,1,0,0,0,0/0,5,广州,2018-01-07
鞠明欣,8,21,否,2-5,0-1,0-0,0,0,1,3,0,0,0,1,0,0/0,4,广州,2018-01-07
朱旭航,10,11,否,0-2,0-0,3-4,0,0,1,3,0,2,1,0,3,0/0,3,广州,2018-01-07
谷玥灼,7,9,否,1-1,0-3,0-0,1,1,1,2,1,0,0,0,0,0/0,2,广州,2018-01-07
陈盈骏,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-07
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-07
衡艺丰,21,9,否,0-0,0-1,0-0,0,0,0,1,0,1,0,0,0,0/0,0,广州,2018-01-07
张晓磊,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-07
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-07
刘子豪,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-07
郭凯,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-07
郑准,50,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-07
骆永轩,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-07
福特森,4,42,是,7-14,5-8,6-8,1,8,17,5,3,5,0,0,12,0/0,35,广厦,2018-01-07
胡金秋,21,28,是,6-10,0-0,8-9,3,7,0,4,1,1,0,0,7,0/0,20,广厦,2018-01-07
林志杰,27,20,是,3-8,2-4,0-0,3,0,1,3,0,0,0,0,0,0/0,12,广厦,2018-01-07
刘铮,11,23,是,4-6,1-2,0-0,0,2,1,1,3,2,0,0,1,0/0,11,广厦,2018-01-07
苏若禹,5,19,是,1-2,0-0,0-0,1,2,0,6,0,1,0,1,1,0/0,2,广厦,2018-01-07
博洛西斯,29,29,否,4-5,4-7,0-0,1,7,6,5,0,1,0,0,2,0/0,20,广厦,2018-01-07
赵岩昊,25,28,否,2-4,3-5,1-1,1,2,0,5,1,3,0,0,1,0/0,14,广厦,2018-01-07
李京龙,9,28,否,0-0,4-6,1-2,0,1,3,1,2,0,0,0,1,0/0,13,广厦,2018-01-07
赵天熠,15,18,否,1-3,0-0,0-0,3,1,3,4,0,1,0,0,0,0/0,2,广厦,2018-01-07
鞠鹏,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-01-07
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-01-07
姜文,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-01-07
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-01-07
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-01-07
孙铭徽,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-01-07
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-01-07
