player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
桑尼,1,44,是,8-17,0-2,8-9,3,7,2,2,0,4,1,0,5,0/0,24,广州,2017-12-15
克里斯顿,0,41,是,4-11,2-6,4-5,0,5,8,2,2,1,0,0,6,0/0,18,广州,2017-12-15
鞠明欣,8,35,是,6-9,0-3,1-2,0,2,0,5,4,1,0,0,1,0/0,13,广州,2017-12-15
罗旭东,9,37,是,0-4,0-1,3-4,0,3,3,4,3,3,0,0,2,0/0,3,广州,2017-12-15
范子铭,13,7,是,0-1,0-0,0-0,0,2,1,0,0,0,0,0,0,0/0,0,广州,2017-12-15
汉斯布鲁,11,30,否,7-10,0-0,11-11,2,6,0,4,3,2,1,1,8,0/0,25,广州,2017-12-15
郑准,50,9,否,2-2,0-0,0-0,1,1,0,1,0,0,0,0,0,0/0,4,广州,2017-12-15
谷玥灼,7,14,否,1-1,0-1,0-0,1,2,0,1,0,1,1,0,0,0/0,2,广州,2017-12-15
朱旭航,10,3,否,1-3,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,2,广州,2017-12-15
陈盈骏,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-15
张帆,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-15
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-15
胡珑贸,15,15,否,0-3,0-1,0-0,2,0,1,3,0,1,0,0,0,0/0,0,广州,2017-12-15
衡艺丰,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-15
张晓磊,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-15
刘子豪,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-15
郭凯,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-15
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-15
骆永轩,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-15
吴前,33,44,是,4-6,7-11,2-2,2,1,2,2,3,3,0,0,3,0/0,31,浙江,2017-12-15
威姆斯,13,43,是,8-18,1-3,0-0,1,6,3,1,3,6,2,0,7,0/0,19,浙江,2017-12-15
张永鹏,76,31,是,4-8,0-0,0-0,2,6,2,1,1,1,2,0,2,0/0,8,浙江,2017-12-15
江凯,93,35,是,2-4,0-4,1-2,0,1,1,2,0,0,0,0,1,0/0,5,浙江,2017-12-15
张大宇,24,18,是,1-3,0-0,2-2,2,2,1,3,0,1,1,0,2,0/0,4,浙江,2017-12-15
斯托克斯,12,28,否,3-10,0-1,4-5,2,8,1,4,0,3,0,0,5,0/0,10,浙江,2017-12-15
陆文博,8,18,否,2-2,1-2,0-0,1,1,1,5,0,0,0,0,1,0/0,7,浙江,2017-12-15
赖俊豪,17,12,否,1-2,0-0,0-1,0,2,1,4,0,0,0,0,1,0/0,2,浙江,2017-12-15
惠龙儿,18,4,否,0-1,0-0,2-2,0,1,0,1,0,1,0,0,1,0/0,2,浙江,2017-12-15
张家丰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-15
王奕博,7,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-15
李宗翰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-15
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-15
付磊,3,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-15
刘泽一,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-15
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-15
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-15
程帅澎,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-15
