player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
大卫-肯尼迪,17,40:35,是,11-22,2-3,3-4,3,12,6,2,0,2,0,1,6,2/2,31,广州,2016-12-23
巴赫拉米,14,40:46,是,10-16,3-9,1-2,0,1,1,5,1,4,2,0,6,1/1,30,广州,2016-12-23
郑准,50,31:19,是,2-3,4-6,1-2,2,1,1,2,0,2,1,0,2,0/0,17,广州,2016-12-23
李学林,9,35:59,是,1-1,1-1,1-2,0,3,5,4,1,4,0,0,1,0/0,6,广州,2016-12-23
范子铭,13,24:07,是,2-8,0-1,2-2,3,7,1,3,2,0,0,0,1,0/0,6,广州,2016-12-23
史蒂芬森,33,23:23,否,5-7,0-0,0-0,4,4,0,4,1,2,0,1,1,0/0,10,广州,2016-12-23
史鸿飞,4,10:48,否,0-0,1-1,0-0,0,0,1,3,0,1,0,0,1,0/0,3,广州,2016-12-23
鞠明欣,8,16:19,否,1-2,0-0,0-0,1,1,0,1,0,3,0,0,1,0/0,2,广州,2016-12-23
朱旭航,10,04:38,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2016-12-23
郭凯,11,12:02,否,0-2,0-0,0-2,0,0,1,2,2,0,1,0,2,0/0,0,广州,2016-12-23
杰里米-帕戈,2,39:31,是,8-15,2-5,3-5,0,3,5,2,1,2,0,0,4,0/0,25,深圳,2016-12-23
顾全,12,31:00,是,6-9,1-3,4-4,0,1,0,4,1,1,0,0,2,2/2,19,深圳,2016-12-23
李慕豪,21,33:24,是,5-9,0-0,3-5,4,2,1,2,0,0,2,1,4,0/0,13,深圳,2016-12-23
孟铎,3,27:51,是,1-2,1-3,1-1,0,3,3,3,0,2,0,0,1,0/0,6,深圳,2016-12-23
沈梓捷,11,22:17,是,1-2,0-0,4-6,1,4,2,2,0,2,1,1,3,0/0,6,深圳,2016-12-23
马齐-兰佩,30,32:29,否,9-10,1-4,3-4,1,6,1,2,1,3,0,1,5,1/1,24,深圳,2016-12-23
罗汉琛,9,15:51,否,2-4,0-0,1-2,0,2,1,1,1,0,0,0,3,1/1,5,深圳,2016-12-23
赵捷,24,14:55,否,0-0,1-4,0-0,0,0,2,0,0,1,0,0,0,0/0,3,深圳,2016-12-23
何忠勉,20,15:51,否,1-4,0-1,0-0,0,1,1,5,2,0,0,0,4,0/0,2,深圳,2016-12-23
代怀博,22,06:51,否,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,0/0,0,深圳,2016-12-23
