player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
克里斯顿,0,44,是,14-17,2-4,5-5,0,2,5,2,2,2,2,0,6,0/0,39,广州,2017-12-13
桑尼,1,44,是,8-16,1-4,7-9,5,10,4,1,1,3,0,0,7,0/0,26,广州,2017-12-13
罗旭东,9,35,是,2-5,3-7,5-9,0,0,3,5,1,1,0,0,5,0/0,18,广州,2017-12-13
鞠明欣,8,10,是,1-2,0-0,0-1,1,2,0,0,0,0,0,0,2,0/0,2,广州,2017-12-13
范子铭,13,7,是,0-1,0-0,0-0,0,0,0,3,0,0,0,0,0,0/0,0,广州,2017-12-13
汉斯布鲁,11,27,否,9-12,0-0,6-8,5,5,0,4,4,1,0,3,7,0/0,24,广州,2017-12-13
郑准,50,16,否,2-7,1-1,0-0,0,1,0,1,0,0,0,0,1,0/0,7,广州,2017-12-13
胡珑贸,15,30,否,0-4,2-5,1-1,4,4,4,4,2,2,0,0,2,0/0,7,广州,2017-12-13
谷玥灼,7,17,否,0-0,1-3,0-0,0,1,0,2,0,0,0,0,0,0/0,3,广州,2017-12-13
陈盈骏,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-13
张帆,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-13
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-13
朱旭航,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-13
衡艺丰,21,4,否,0-0,0-1,0-0,0,0,0,0,0,1,0,0,0,0/0,0,广州,2017-12-13
张晓磊,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-13
刘子豪,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-13
郭凯,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-13
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-13
骆永轩,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-13
王哲林,31,41,是,12-18,0-0,3-4,2,8,1,5,1,1,1,4,5,0/0,27,福建,2017-12-13
哈里斯,33,36,是,6-6,4-9,0-1,1,10,1,3,2,2,1,0,3,0/0,24,福建,2017-12-13
赵泰隆,73,40,是,1-3,3-8,0-0,0,1,4,4,1,1,0,0,1,0/0,11,福建,2017-12-13
陈林坚,15,22,是,1-2,2-4,0-0,0,3,0,5,0,1,0,0,0,0/0,8,福建,2017-12-13
李江淮,5,8,是,0-1,0-0,0-0,1,0,1,1,0,0,0,0,0,0/0,0,福建,2017-12-13
史密斯,2,35,否,8-12,3-10,12-14,1,5,6,3,3,4,0,1,10,0/0,37,福建,2017-12-13
谢亚财,30,11,否,2-2,0-1,2-2,0,0,1,1,0,3,0,0,1,0/0,6,福建,2017-12-13
黄毅超,14,27,否,1-1,1-4,0-0,1,2,2,4,1,1,0,0,1,0/0,5,福建,2017-12-13
孙喆,17,15,否,1-3,0-0,0-0,2,1,1,4,0,1,1,0,0,0/0,2,福建,2017-12-13
蔡晨,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-13
田桂森,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-13
杨凯,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-13
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-13
孙椿棚,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-13
王增杰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-13
周启新,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-13
何重达,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-13
郭磊,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-13
