player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗格,18,36,是,4-12,2-5,13-15,0,6,6,2,0,1,0,0,11,0/0,27,广州,2018-11-23
陈盈骏,2,33,是,6-8,2-5,7-7,1,5,4,2,0,2,0,0,5,0/0,25,广州,2018-11-23
鞠明欣,8,40,是,3-6,2-3,0-0,0,1,4,1,2,1,0,0,1,0/0,12,广州,2018-11-23
张永鹏,33,30,是,3-6,0-0,0-2,2,8,0,3,1,3,1,1,1,0/0,6,广州,2018-11-23
孙鸣阳,12,9,是,0-0,0-0,0-0,0,2,0,1,0,0,0,0,0,0/0,0,广州,2018-11-23
西热力江,20,30,否,2-4,3-7,0-0,0,1,2,4,0,2,0,0,1,0/0,13,广州,2018-11-23
斯贝茨,5,35,否,3-10,1-3,1-2,0,7,0,4,0,3,2,1,2,0/0,10,广州,2018-11-23
司坤,6,4,否,0-0,1-1,2-2,0,1,0,0,0,0,0,0,1,0/0,5,广州,2018-11-23
郑准,50,5,否,0-0,1-1,0-0,0,2,0,1,0,0,0,0,0,0/0,3,广州,2018-11-23
郭凯,14,12,否,0-2,0-0,0-0,0,1,0,3,0,2,1,0,0,0/0,0,广州,2018-11-23
谷玥灼,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-23
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-23
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-23
姚天一,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-23
宋帅,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-23
衡艺丰,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-23
李炎哲,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-23
田宇恒,9,1,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,广州,2018-11-23
哈德森,14,38,是,3-7,6-11,3-4,2,4,3,3,3,1,1,0,3,0/0,27,辽宁,2018-11-23
郭艾伦,13,32,是,3-9,2-8,8-11,4,1,3,3,0,1,0,0,6,0/0,20,辽宁,2018-11-23
韩德君,55,31,是,5-11,0-0,4-4,5,11,2,2,2,0,0,0,2,0/0,14,辽宁,2018-11-23
李晓旭,22,27,是,4-7,1-5,0-0,2,4,1,3,1,2,0,0,0,0/0,11,辽宁,2018-11-23
高诗岩,0,9,是,0-1,0-0,0-0,1,0,1,6,1,0,0,0,2,0/0,0,辽宁,2018-11-23
巴斯,30,28,否,8-12,0-0,7-10,1,7,2,3,1,1,1,4,8,0/0,23,辽宁,2018-11-23
丛明晨,10,22,否,1-1,3-3,0-0,2,2,0,1,2,1,0,0,0,0/0,11,辽宁,2018-11-23
杨鸣,12,16,否,3-5,0-2,0-0,0,1,4,0,0,0,0,0,1,0/0,6,辽宁,2018-11-23
卫猛,23,2,否,1-3,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,辽宁,2018-11-23
刘志轩,11,22,否,1-2,0-1,0-0,0,3,5,1,1,0,0,0,0,0/0,2,辽宁,2018-11-23
钟诚,9,5,否,0-0,0-3,1-2,0,2,0,0,0,0,0,0,1,0/0,1,辽宁,2018-11-23
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-11-23
贺天举,6,2,否,0-0,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,0,辽宁,2018-11-23
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-11-23
赵继伟,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-11-23
马壮,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-11-23
鄢手骐,36,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-11-23
