player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
周琦,9,38:43,是,7-11,1-2,4-7,8,8,4,2,1,5,3,2,7,0/0,21,新疆,2017-01-24
亚当斯,4,38:32,是,3-11,5-18,0-0,0,3,6,3,5,5,0,0,1,1/1,21,新疆,2017-01-24
李根,1,37:15,是,4-5,3-7,2-2,0,3,0,3,1,3,0,0,1,2/2,19,新疆,2017-01-24
可兰白克,13,30:18,是,1-2,5-7,0-0,0,2,1,5,1,1,0,0,0,0/0,17,新疆,2017-01-24
俞长栋,7,07:57,是,1-1,0-0,0-0,2,1,0,3,1,1,1,0,0,0/0,2,新疆,2017-01-24
布莱切,0,32:03,否,5-11,1-3,7-8,8,12,4,2,1,3,3,0,8,1/1,20,新疆,2017-01-24
孙桐林,55,17:17,否,2-3,0-0,2-2,1,0,0,1,0,2,0,0,3,0/0,6,新疆,2017-01-24
罗旭东,6,21:30,否,0-0,1-1,0-0,1,0,1,2,0,0,0,0,0,0/0,3,新疆,2017-01-24
阿不都沙拉木,14,01:54,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,新疆,2017-01-24
王子瑞,30,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-01-24
西热力江,20,14:31,否,0-1,0-4,0-0,0,0,3,1,2,0,0,0,1,0/0,0,新疆,2017-01-24
未确认,--,--,--,0-0,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-01-24
弗雷戴特,32,36:20,是,4-10,5-9,2-3,0,5,4,1,1,8,0,0,5,0/0,25,上海,2017-01-24
刘晓宇,10,39:15,是,1-4,3-6,2-4,0,2,8,1,2,0,0,0,5,0/0,13,上海,2017-01-24
翟逸,22,33:16,是,3-5,0-1,1-2,3,1,0,5,3,2,0,0,2,0/0,7,上海,2017-01-24
张兆旭,23,26:31,是,3-6,0-0,0-0,3,6,0,6,1,3,2,1,3,0/0,6,上海,2017-01-24
曾文鼎,76,11:02,是,1-2,0-2,0-0,0,0,1,1,1,0,0,1,0,1/1,2,上海,2017-01-24
亚布塞莱,16,35:40,否,8-12,4-8,2-2,2,4,1,3,2,2,1,4,4,1/1,30,上海,2017-01-24
吴冠希,11,16:40,否,3-3,0-0,0-0,0,3,0,2,0,2,0,0,0,0/0,6,上海,2017-01-24
蔡亮,1,29:47,否,1-3,1-1,0-0,0,2,1,3,1,3,0,0,0,0/0,5,上海,2017-01-24
卢伟,12,11:26,否,0-0,0-2,1-2,0,2,0,0,1,0,0,0,2,0/0,1,上海,2017-01-24
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,上海,2017-01-24
