player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布莱切,0,32,是,5-6,3-7,8-10,3,7,3,3,2,5,2,0,6,0/0,27,新疆,2017-11-15
阿不都沙拉木,23,35,是,6-8,1-2,3-4,4,10,5,3,1,3,1,0,4,0/0,18,新疆,2017-11-15
王子瑞,30,28,是,5-9,2-5,0-1,0,1,2,1,2,4,0,0,3,0/0,16,新疆,2017-11-15
俞长栋,27,37,是,3-10,2-5,3-4,3,9,3,1,0,0,0,0,5,0/0,15,新疆,2017-11-15
可兰白克,13,28,是,0-0,2-4,2-2,0,2,0,1,0,2,0,0,1,0/0,8,新疆,2017-11-15
西热力江,20,29,否,2-2,1-5,0-0,1,4,4,2,1,0,0,0,0,0/0,7,新疆,2017-11-15
孙鸣阳,21,17,否,1-6,0-0,0-0,0,2,0,1,0,1,0,0,0,0/0,2,新疆,2017-11-15
刘丰博,3,1,否,1-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,新疆,2017-11-15
亚当斯,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-11-15
卡米然斯地克江,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-11-15
孙桐林,55,6,否,0-1,0-0,0-0,0,1,2,0,0,0,0,0,0,0/0,0,新疆,2017-11-15
唐才育,18,2,否,0-0,0-0,0-2,0,0,0,1,0,0,0,0,1,0/0,0,新疆,2017-11-15
李学林,6,19,否,0-0,0-1,0-0,0,1,2,1,0,0,0,0,0,0/0,0,新疆,2017-11-15
李根,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-11-15
雷蒙,11,42,是,2-6,4-9,3-4,1,4,1,1,2,3,0,0,3,0/0,19,八一,2017-11-15
付豪,1,27,是,6-15,0-0,1-4,3,4,1,3,0,0,2,0,3,0/0,13,八一,2017-11-15
许钟豪,24,30,是,3-7,0-1,1-2,2,4,3,1,3,2,1,0,2,0/0,7,八一,2017-11-15
张祖铭,20,19,是,0-1,1-4,0-0,1,3,0,3,0,0,0,0,0,0/0,3,八一,2017-11-15
田宇翔,7,16,是,0-4,0-0,0-0,0,2,1,0,1,1,0,0,0,0/0,0,八一,2017-11-15
刘航初,9,32,否,3-8,1-1,1-3,0,1,2,3,6,1,0,0,3,0/0,10,八一,2017-11-15
阿尔斯兰,5,23,否,0-0,3-5,0-0,1,3,7,3,0,0,0,0,1,0/0,9,八一,2017-11-15
余晨,15,17,否,1-5,0-0,3-4,1,3,0,3,0,1,0,0,2,0/0,5,八一,2017-11-15
宁鸿宇,16,9,否,2-4,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,4,八一,2017-11-15
德勒黑,22,6,否,1-3,0-1,0-0,1,1,1,1,0,0,0,0,0,0/0,2,八一,2017-11-15
李天戈,6,10,否,1-2,0-0,0-0,0,0,3,1,0,0,0,0,0,0/0,2,八一,2017-11-15
邹雨宸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-15
缪光旸,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-15
罗凯文,13,3,否,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,八一,2017-11-15
王俊霖,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-15
曹岩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-11-15
