player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
亚当斯,4,43,是,8-16,6-14,11-13,1,7,10,3,6,5,1,0,11,0/0,45,新疆,2018-01-23
可兰白克,13,37,是,6-9,0-1,2-2,3,2,0,1,1,1,1,0,2,0/0,14,新疆,2018-01-23
俞长栋,7,31,是,4-8,1-4,1-2,0,7,1,4,1,2,1,0,2,0/0,12,新疆,2018-01-23
孙桐林,55,28,是,3-3,0-0,2-4,1,1,4,3,1,2,0,0,2,0/0,8,新疆,2018-01-23
阿不都沙拉木,23,17,是,1-1,1-3,0-0,1,4,1,2,1,1,2,0,0,0/0,5,新疆,2018-01-23
奥古斯托-利马,23,26,否,9-11,0-0,4-7,8,10,0,5,0,2,2,1,4,0/0,22,新疆,2018-01-23
西热力江,20,23,否,0-1,3-6,0-0,1,1,0,2,1,1,0,0,0,0/0,9,新疆,2018-01-23
李根,1,22,否,0-4,1-4,5-6,1,1,0,1,2,0,0,0,3,0/0,8,新疆,2018-01-23
唐才育,18,1,否,1-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,2,新疆,2018-01-23
卡米然斯地克江,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-23
刘丰博,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-23
李学林,6,4,否,0-0,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,新疆,2018-01-23
王子瑞,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-23
孙鸣阳,21,2,否,0-0,0-0,0-0,0,2,0,0,0,1,0,0,0,0/0,0,新疆,2018-01-23
J.J-希克森,44,36,是,13-24,0-0,4-6,3,9,2,3,2,3,1,1,6,0/0,30,同曦,2018-01-23
巴赫拉米,14,34,是,5-9,1-2,4-5,4,3,3,6,0,3,1,0,6,0/0,17,同曦,2018-01-23
郭一飞,10,40,是,1-3,2-7,3-4,1,1,1,3,2,1,0,0,4,0/0,11,同曦,2018-01-23
冯欣,66,16,是,3-3,0-2,0-0,0,1,2,2,1,2,0,0,1,0/0,6,同曦,2018-01-23
周仪翔,6,5,是,0-1,0-1,0-0,0,0,0,0,0,1,0,0,0,0/0,0,同曦,2018-01-23
杰里米-帕戈,11,35,否,4-9,8-15,2-4,0,2,5,1,3,4,0,0,4,0/0,34,同曦,2018-01-23
杨力,19,24,否,1-1,1-2,0-0,1,4,1,3,2,1,0,0,0,0/0,5,同曦,2018-01-23
宋建骅,8,22,否,0-1,1-4,0-0,1,4,1,4,0,1,0,0,0,0/0,3,同曦,2018-01-23
冷振铎,12,2,否,0-1,0-0,2-2,0,0,0,0,0,0,0,0,1,0/0,2,同曦,2018-01-23
乔文瀚,7,4,否,0-1,0-0,0-0,0,0,0,0,1,0,0,0,0,0/0,0,同曦,2018-01-23
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-23
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-23
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-23
张财宝,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-23
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-23
王睿,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-23
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-23
买尔丹,33,11,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,同曦,2018-01-23
于长春,16,5,否,0-1,0-1,0-0,0,1,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-23
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-23
唐正东,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-01-23
