player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
亚当斯,4,32:18,是,9-13,5-16,4-4,0,4,6,2,3,6,0,0,7,0/0,37,新疆,2016-12-04
李根,1,23:38,是,4-8,2-4,0-0,0,2,1,0,1,0,1,0,1,2/2,14,新疆,2016-12-04
西热力江,20,31:05,是,2-2,0-7,2-2,0,5,2,4,2,0,0,0,1,1/1,6,新疆,2016-12-04
俞长栋,7,23:43,是,3-7,0-0,0-0,3,3,2,4,1,0,0,0,2,0/0,6,新疆,2016-12-04
孙桐林,55,24:03,是,1-4,0-0,2-2,2,7,1,3,1,0,0,0,2,0/0,4,新疆,2016-12-04
本杰明-本特尔,50,23:40,否,3-7,3-5,0-0,1,6,0,1,2,2,0,0,0,0/0,15,新疆,2016-12-04
王子瑞,30,14:21,否,3-3,0-0,0-0,0,0,2,2,0,0,0,0,2,2/2,6,新疆,2016-12-04
可兰白克,13,11:39,否,1-2,0-1,0-0,0,4,0,0,0,1,1,0,0,0/0,2,新疆,2016-12-04
未确认,--,--,--,0-0,0-0,0-0,4,1,0,0,0,1,0,0,0,0/0,0,新疆,2016-12-04
哈达迪,15,31:04,是,5-8,0-0,1-3,4,14,3,2,0,8,2,0,3,0/0,11,四川,2016-12-04
刘炜,8,28:54,是,3-7,1-2,0-0,1,4,2,1,0,2,0,0,1,0/0,9,四川,2016-12-04
孟达,12,27:30,是,1-4,1-5,0-0,1,1,1,1,1,2,0,0,2,0/0,5,四川,2016-12-04
张春军,20,20:09,是,1-4,0-0,1-1,0,1,0,1,1,0,0,0,1,0/0,3,四川,2016-12-04
陈晓东,30,07:04,是,1-2,0-0,0-0,2,1,0,2,0,0,1,0,0,0/0,2,四川,2016-12-04
约什-史密斯,5,34:11,否,4-6,2-7,2-6,1,5,4,3,1,3,1,1,5,0/0,16,四川,2016-12-04
王汝恒,24,25:08,否,1-2,4-10,2-2,0,2,2,0,1,2,0,0,2,1/1,16,四川,2016-12-04
蔡晨,7,11:09,否,2-3,0-0,4-4,0,2,0,2,0,0,0,0,2,0/0,8,四川,2016-12-04
吴楠,10,17:59,否,2-5,1-3,0-0,0,0,3,4,1,0,1,0,0,0/0,7,四川,2016-12-04
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,四川,2016-12-04
