player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
亚当斯,4,39,是,9-14,7-12,2-2,1,4,12,2,1,1,0,0,3,0/0,41,新疆,2018-01-30
俞长栋,7,21,是,1-3,4-8,2-2,3,1,2,2,0,5,0,0,1,0/0,16,新疆,2018-01-30
孙桐林,55,23,是,4-4,0-0,1-2,0,3,2,2,0,1,0,0,2,0/0,9,新疆,2018-01-30
阿不都沙拉木,23,23,是,4-6,0-1,0-0,3,8,1,0,2,1,0,0,1,0/0,8,新疆,2018-01-30
西热力江,20,25,是,0-2,1-5,0-0,1,3,2,0,0,0,0,0,1,0/0,3,新疆,2018-01-30
奥古斯托-利马,23,25,否,9-13,0-0,4-6,9,7,0,0,1,1,0,3,6,0/0,22,新疆,2018-01-30
李根,1,28,否,4-6,1-4,6-7,0,2,4,0,4,0,0,1,4,0/0,17,新疆,2018-01-30
可兰白克,13,19,否,2-2,4-5,0-0,1,0,1,3,0,0,0,0,0,0/0,16,新疆,2018-01-30
孙鸣阳,21,20,否,2-4,0-0,0-0,1,1,1,4,0,3,1,0,0,0/0,4,新疆,2018-01-30
卡米然斯地克江,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-30
刘丰博,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-30
李学林,6,8,否,0-1,0-0,0-0,1,0,0,0,1,2,0,0,0,0/0,0,新疆,2018-01-30
王子瑞,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-30
唐才育,18,4,否,0-1,0-1,0-0,0,0,0,2,0,0,0,0,0,0/0,0,新疆,2018-01-30
德里克-威廉姆斯,24,39,是,8-14,3-6,7-8,3,6,0,4,2,1,0,5,6,0/0,32,天津,2018-01-30
张智涵,9,41,是,9-14,2-8,0-1,1,1,3,2,1,1,0,0,1,0/0,24,天津,2018-01-30
时德帅,23,20,是,3-3,0-1,2-2,0,1,1,2,1,3,0,0,2,0/0,8,天津,2018-01-30
李荣培,7,35,是,2-3,0-3,1-2,2,1,3,3,0,2,0,0,1,0/0,5,天津,2018-01-30
田野,17,9,是,2-2,0-1,0-0,0,0,3,1,1,0,0,0,0,0/0,4,天津,2018-01-30
普-杰特,3,30,否,6-8,2-8,2-2,1,2,6,0,2,2,0,0,1,0/0,20,天津,2018-01-30
徐磊,5,25,否,1-4,3-4,4-4,1,1,2,3,1,2,0,0,2,0/0,15,天津,2018-01-30
陈卓,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-30
韩博林,6,0,否,0-0,0-0,0-2,0,1,0,0,0,0,0,0,1,0/0,0,天津,2018-01-30
高森堡,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-30
金鑫,10,9,否,0-2,0-0,0-0,0,3,0,1,1,0,0,0,0,0/0,0,天津,2018-01-30
田垒,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-30
孟祥龙,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-30
刘伟,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-30
于刚,77,11,否,0-1,0-0,0-0,1,1,0,2,0,1,0,0,1,0/0,0,天津,2018-01-30
张骥,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-30
张晓阳,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-30
史仪,22,16,否,0-0,0-2,0-0,1,0,2,0,1,2,0,0,0,0/0,0,天津,2018-01-30
