player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
亚当斯,4,43,是,6-13,6-12,18-19,1,9,8,2,6,6,0,1,11,0/0,48,新疆,2018-11-06
阿不都沙拉木,23,42,是,4-5,2-6,0-0,0,9,2,5,0,4,1,0,0,0/0,14,新疆,2018-11-06
孙桐林,55,22,是,4-5,0-0,2-3,5,0,5,5,4,2,1,0,6,0/0,10,新疆,2018-11-06
曾令旭,6,31,是,1-4,1-3,0-0,0,3,3,1,2,1,0,0,2,0/0,5,新疆,2018-11-06
周仪翔,27,7,是,1-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,新疆,2018-11-06
艾尔-杰弗森,25,13,否,6-10,0-1,2-2,2,3,1,2,0,0,0,0,1,0/0,14,新疆,2018-11-06
李根,1,26,否,3-6,0-1,4-7,1,4,2,2,2,0,0,0,6,0/0,10,新疆,2018-11-06
可兰白克,13,35,否,0-1,2-4,4-4,1,1,1,4,0,1,0,0,2,0/0,10,新疆,2018-11-06
范子铭,17,5,否,1-2,0-0,3-4,0,2,0,1,0,0,0,0,2,0/0,5,新疆,2018-11-06
王子瑞,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-06
姜文,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-06
刘羽楠,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-06
侯沛佐,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-06
唐才育,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-06
俞长栋,7,11,否,0-1,0-1,0-0,0,0,0,2,0,0,0,0,0,0/0,0,新疆,2018-11-06
邓群飞,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-06
莫泰尤纳斯,12,39,是,10-17,4-7,3-7,7,9,6,5,1,5,0,0,12,0/0,35,山东,2018-11-06
贾诚,23,39,是,4-8,1-2,4-5,3,9,0,5,1,2,1,1,4,0/0,15,山东,2018-11-06
吴楠,38,45,是,0-2,2-7,2-2,3,1,0,5,2,0,0,0,1,0/0,8,山东,2018-11-06
王汝恒,24,19,是,1-3,2-6,0-0,0,1,0,3,0,2,0,0,1,0/0,8,山东,2018-11-06
李泓翰,7,10,是,0-0,0-1,0-0,0,0,0,1,0,2,0,0,1,0/0,0,山东,2018-11-06
古德洛克,3,32,否,7-13,5-8,3-4,1,5,5,2,0,2,0,0,4,0/0,32,山东,2018-11-06
张庆鹏,9,35,否,0-3,3-7,0-0,0,2,5,5,3,3,0,0,1,0/0,9,山东,2018-11-06
朱荣振,35,7,否,2-4,0-1,0-0,1,0,1,2,0,1,0,0,0,0/0,4,山东,2018-11-06
吴轲,15,3,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-06
潘宁,5,1,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,山东,2018-11-06
张春军,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-06
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-06
张辉,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-06
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-06
陶汉林,20,5,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,山东,2018-11-06
