player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
亚当斯,4,45,是,9-13,6-18,13-14,2,6,13,4,3,4,0,0,15,0/0,49,新疆,2018-02-01
俞长栋,7,40,是,6-13,1-3,0-0,0,5,0,4,2,1,0,0,1,0/0,15,新疆,2018-02-01
可兰白克,13,37,是,2-4,2-4,0-0,1,3,1,2,0,1,0,0,0,0/0,10,新疆,2018-02-01
孙桐林,55,10,是,0-2,0-0,0-0,0,2,0,0,1,1,0,0,1,0/0,0,新疆,2018-02-01
阿不都沙拉木,23,4,是,0-0,0-1,0-0,0,0,0,1,0,0,0,0,1,0/0,0,新疆,2018-02-01
奥古斯托-利马,23,25,否,10-14,0-0,2-4,9,5,0,5,1,0,2,4,3,0/0,22,新疆,2018-02-01
李根,1,32,否,3-6,2-6,3-3,0,1,2,1,0,0,0,0,3,0/0,15,新疆,2018-02-01
西热力江,20,24,否,1-2,1-4,0-0,3,3,1,5,2,0,0,0,0,0/0,5,新疆,2018-02-01
孙鸣阳,21,16,否,2-6,0-0,0-0,1,4,1,2,1,1,0,0,0,0/0,4,新疆,2018-02-01
卡米然斯地克江,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-01
刘丰博,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-01
李学林,6,2,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-01
王子瑞,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-01
唐才育,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-01
路易斯-斯科拉,4,36,是,10-19,0-2,13-14,4,10,4,5,0,6,1,0,10,0/0,33,山西,2018-02-01
邢志强,12,23,是,0-4,2-6,0-0,2,4,2,2,0,1,1,0,1,0/0,6,山西,2018-02-01
王洪,13,18,是,0-0,2-4,0-0,1,1,3,3,1,0,0,0,2,0/0,6,山西,2018-02-01
任骏威,26,36,是,1-1,1-7,0-0,0,7,2,1,1,0,0,0,0,0/0,5,山西,2018-02-01
张泽龙,24,15,是,1-5,0-4,0-0,2,0,1,2,1,0,0,0,0,0/0,2,山西,2018-02-01
威利-沃伦,32,35,否,8-11,1-3,4-6,1,4,8,4,0,4,0,0,7,0/0,23,山西,2018-02-01
闫鹏飞,9,30,否,7-11,0-0,3-3,1,3,1,3,0,2,1,0,3,0/0,17,山西,2018-02-01
刘冠岑,17,33,否,2-4,2-2,0-1,4,1,4,2,1,2,0,0,1,0/0,10,山西,2018-02-01
原帅,7,8,否,0-0,2-2,0-0,0,1,0,1,0,0,0,0,0,0/0,6,山西,2018-02-01
班铎,4,0,否,0-0,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,山西,2018-02-01
曾令旭,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-02-01
王重阳,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-02-01
李旭,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-02-01
侯兴宇,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-02-01
王磊,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-02-01
李敬宇,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-02-01
沙威剑,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-02-01
张学文,33,1,否,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0,0/0,0,山西,2018-02-01
