player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
亚当斯,4,46,是,11-17,8-17,5-5,1,7,6,0,1,4,0,0,8,0/0,51,新疆,2018-12-16
孙桐林,55,43,是,5-9,0-0,2-2,3,6,2,2,5,0,2,1,2,0/0,12,新疆,2018-12-16
周仪翔,27,30,是,2-2,2-5,2-2,0,1,0,2,1,1,0,0,1,0/0,12,新疆,2018-12-16
李根,1,34,是,0-1,3-6,0-0,0,1,2,2,1,2,0,0,1,0/0,9,新疆,2018-12-16
俞长栋,7,32,是,1-2,1-5,3-4,1,5,2,4,0,0,1,0,2,0/0,8,新疆,2018-12-16
阿不都沙拉木,23,26,否,6-8,0-4,0-0,0,3,2,6,2,0,1,0,2,0/0,12,新疆,2018-12-16
哈达迪,15,15,否,2-9,0-0,1-3,5,4,4,0,0,1,2,0,3,0/0,5,新疆,2018-12-16
可兰白克,13,4,否,0-0,1-2,0-0,2,0,0,1,0,1,0,0,0,0/0,3,新疆,2018-12-16
刘羽楠,18,3,否,1-1,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,2,新疆,2018-12-16
范子铭,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-12-16
唐才育,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-12-16
侯沛佐,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-12-16
曾令旭,6,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-12-16
姜文,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-12-16
王子瑞,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-12-16
邓群飞,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-12-16
鲍比-布朗,6,34,是,2-5,5-9,2-2,1,4,4,0,0,5,0,0,2,0/0,21,山西,2018-12-16
葛昭宝,21,22,是,6-10,0-1,0-0,1,6,3,0,0,3,1,0,0,0/0,12,山西,2018-12-16
任骏威,10,27,是,2-3,0-2,4-4,1,2,0,5,2,1,1,0,4,0/0,8,山西,2018-12-16
李敬宇,11,27,是,0-2,2-6,0-0,1,1,1,3,0,1,0,0,0,0/0,6,山西,2018-12-16
滕贺麒,8,5,是,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,山西,2018-12-16
穆罕默德,15,36,否,8-15,1-5,12-15,4,8,5,1,1,1,2,1,9,0/0,31,山西,2018-12-16
闫鹏飞,9,30,否,6-11,0-0,2-2,4,6,1,2,1,0,0,0,1,0/0,14,山西,2018-12-16
原帅,7,30,否,0-2,3-5,0-0,0,1,1,3,0,1,0,0,0,0/0,9,山西,2018-12-16
王洪,13,9,否,0-0,0-0,0-0,0,1,1,1,0,1,0,0,0,0/0,0,山西,2018-12-16
孙伟博,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-16
任鹏鹏,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-16
刘冠岑,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-16
张泽龙,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-16
邢志强,12,15,否,0-0,0-1,0-0,0,2,1,2,2,1,0,0,0,0/0,0,山西,2018-12-16
侯兴宇,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-16
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2018-12-16
