player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
亚当斯,4,41:31,是,8-10,4-15,7-9,2,4,7,4,1,6,0,0,8,1/1,35,新疆,2017-04-02
周琦,9,43:10,是,6-11,0-2,2-2,6,5,2,1,1,6,3,3,5,1/1,14,新疆,2017-04-02
西热力江,20,37:26,是,2-2,2-4,0-0,1,5,3,5,3,0,1,0,3,1/1,10,新疆,2017-04-02
可兰白克,13,21:49,是,1-1,1-3,2-2,1,2,1,3,2,0,0,0,2,0/0,7,新疆,2017-04-02
俞长栋,7,03:58,是,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,新疆,2017-04-02
李根,1,37:43,否,4-6,4-7,3-3,1,1,4,3,0,1,0,0,2,1/1,23,新疆,2017-04-02
布莱切,0,30:00,否,4-8,0-3,4-6,2,3,3,1,5,4,0,2,5,0/0,12,新疆,2017-04-02
孙桐林,55,18:11,否,1-2,0-0,0-0,1,6,0,2,0,1,0,0,0,0/0,2,新疆,2017-04-02
罗旭东,6,06:12,否,0-1,0-0,0-0,0,0,0,1,1,1,0,0,1,0/0,0,新疆,2017-04-02
王子瑞,30,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-04-02
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,2,0,0,0,0/0,0,新疆,2017-04-02
周鹏,11,44:12,是,5-9,3-8,4-4,2,4,3,5,3,2,1,0,5,0/0,23,广东,2017-04-02
易建联,9,32:36,是,4-7,1-4,8-9,2,10,0,3,1,2,2,0,7,0/0,19,广东,2017-04-02
唐纳德-斯隆,23,38:09,是,8-12,0-6,3-3,1,4,6,3,3,6,0,0,3,3/3,19,广东,2017-04-02
任骏飞,20,13:09,是,2-4,0-0,0-0,1,0,1,2,1,0,0,1,0,1/1,4,广东,2017-04-02
赵睿,0,15:15,是,0-0,0-0,2-2,0,0,1,3,2,3,0,0,2,0/0,2,广东,2017-04-02
布泽尔,5,31:51,否,7-11,0-0,0-0,2,5,1,5,1,5,0,2,0,0/0,14,广东,2017-04-02
朱芳雨,8,23:19,否,2-2,1-6,0-0,0,0,0,2,2,1,0,0,0,1/1,7,广东,2017-04-02
周湛东,13,27:42,否,2-2,1-1,0-0,0,0,1,6,2,0,0,0,2,2/2,7,广东,2017-04-02
董瀚麟,16,02:18,否,1-1,0-0,0-0,0,1,0,0,1,0,0,1,0,1/1,2,广东,2017-04-02
陈江华,6,11:29,否,0-0,0-0,0-0,0,0,2,0,0,1,0,0,0,0/0,0,广东,2017-04-02
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,广东,2017-04-02
