player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布莱切,0,40:04,是,12-20,4-9,7-11,7,12,3,3,3,4,4,0,8,1/1,43,新疆,2016-12-28
周琦,9,33:55,是,4-8,0-1,8-11,2,8,2,1,0,0,1,3,8,0/0,16,新疆,2016-12-28
王子瑞,30,29:39,是,0-2,1-4,8-10,0,1,2,4,1,3,0,0,6,0/0,11,新疆,2016-12-28
可兰白克,13,41:41,是,3-5,0-3,3-4,2,3,1,5,1,2,1,0,2,1/1,9,新疆,2016-12-28
阿不都沙拉木,14,17:26,是,1-2,0-1,0-0,0,0,0,2,1,1,1,0,2,0/0,2,新疆,2016-12-28
罗旭东,6,25:18,否,1-4,1-2,2-2,0,2,2,4,0,0,0,0,1,0/0,7,新疆,2016-12-28
李根,1,29:56,否,1-2,1-5,0-0,1,1,0,6,0,4,1,0,4,0/0,5,新疆,2016-12-28
孙桐林,55,10:43,否,1-1,0-0,0-0,1,3,1,2,0,2,0,0,1,0/0,2,新疆,2016-12-28
俞长栋,7,11:18,否,0-0,0-0,2-2,0,0,1,2,0,0,0,0,1,0/0,2,新疆,2016-12-28
唐才育,18,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2016-12-28
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,新疆,2016-12-28
林志杰,27,40:24,是,4-7,3-9,5-6,1,3,1,5,2,2,0,0,3,1/1,22,广厦,2016-12-28
霍尔曼,32,30:39,是,9-12,0-0,4-5,3,6,0,3,0,0,0,0,4,0/0,22,广厦,2016-12-28
李京龙,9,32:47,是,0-2,3-9,1-2,0,2,0,4,0,1,0,0,1,0/0,10,广厦,2016-12-28
胡金秋,21,37:16,是,0-4,0-0,6-6,2,6,0,4,2,3,0,0,4,0/0,6,广厦,2016-12-28
孙铭徽,17,06:39,是,0-1,0-0,0-0,1,0,0,3,1,1,0,0,1,0/0,0,广厦,2016-12-28
福特森,4,41:21,否,6-11,1-5,6-9,0,9,13,4,2,1,0,0,11,0/0,21,广厦,2016-12-28
刘铮,11,22:49,否,4-7,1-1,1-1,2,2,0,3,1,4,0,1,3,1/1,12,广厦,2016-12-28
王征,13,15:58,否,2-4,0-0,1-1,1,3,0,1,1,0,1,0,2,0/0,5,广厦,2016-12-28
张伟,24,10:44,否,1-1,0-1,0-0,0,0,0,5,0,0,0,0,0,1/1,2,广厦,2016-12-28
苏若禹,5,01:23,否,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,广厦,2016-12-28
赵大鹏,30,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2016-12-28
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,1,0,0,0,0/0,0,广厦,2016-12-28
