player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
亚当斯,4,48,是,16-23,2-10,15-17,1,13,12,4,2,7,1,0,13,0/0,53,新疆,2018-01-02
俞长栋,27,39,是,4-9,4-8,0-2,2,3,2,4,2,3,0,1,2,0/0,20,新疆,2018-01-02
可兰白克,13,31,是,4-6,1-4,2-2,2,1,1,4,0,1,1,0,1,0/0,13,新疆,2018-01-02
西热力江,20,38,是,1-4,3-5,0-0,1,7,3,3,1,0,0,0,1,0/0,11,新疆,2018-01-02
孙桐林,55,40,是,5-8,0-0,0-0,3,2,2,3,2,2,0,1,3,0/0,10,新疆,2018-01-02
李根,1,22,否,1-2,2-3,3-4,0,0,0,3,0,1,0,0,2,0/0,11,新疆,2018-01-02
阿不都沙拉木,23,9,否,0-1,2-3,2-2,0,1,1,1,1,0,0,0,2,0/0,8,新疆,2018-01-02
孙鸣阳,21,10,否,1-1,0-0,0-0,1,3,0,2,0,2,0,0,0,0/0,2,新疆,2018-01-02
布莱切,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-02
卡米然斯地克江,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-02
刘丰博,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-02
李学林,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-02
王子瑞,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-02
唐才育,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-01-02
克里斯顿,0,44,是,10-17,0-4,6-7,0,7,3,1,0,3,0,0,5,0/0,26,广州,2018-01-02
桑尼,1,38,是,7-15,2-4,1-1,1,3,1,2,1,2,0,0,2,0/0,21,广州,2018-01-02
罗旭东,9,33,是,4-11,3-5,2-2,3,2,2,5,1,1,0,0,1,0/0,19,广州,2018-01-02
郑准,50,21,是,4-4,0-2,1-1,2,3,1,1,1,1,2,1,1,0/0,9,广州,2018-01-02
鞠明欣,8,11,是,1-1,0-1,0-0,1,2,0,4,0,0,0,0,0,0/0,2,广州,2018-01-02
汉斯布鲁,11,27,否,9-16,0-0,4-6,7,3,0,3,1,1,0,3,6,0/0,22,广州,2018-01-02
胡珑贸,15,31,否,4-6,1-1,4-7,0,2,2,6,2,2,0,0,7,0/0,15,广州,2018-01-02
谷玥灼,7,11,否,0-0,1-2,0-0,0,3,0,1,2,2,0,0,2,0/0,3,广州,2018-01-02
衡艺丰,21,13,否,0-1,1-2,0-0,0,0,0,1,0,0,0,0,0,0/0,3,广州,2018-01-02
张帆,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-02
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-02
陈盈骏,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-02
朱旭航,10,7,否,0-1,0-0,0-0,0,2,0,1,0,0,1,0,0,0/0,0,广州,2018-01-02
张晓磊,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-02
刘子豪,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-02
范子铭,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-02
郭凯,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-02
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-02
骆永轩,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-02
