player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
亚当斯,4,38,是,12-18,2-8,10-12,1,9,10,3,6,2,1,1,9,0/0,40,新疆,2018-02-11
孙桐林,55,31,是,5-10,0-0,1-2,2,5,0,2,0,3,0,0,3,0/0,11,新疆,2018-02-11
可兰白克,13,24,是,3-5,1-4,0-0,1,2,1,2,1,0,0,0,0,0/0,9,新疆,2018-02-11
俞长栋,7,26,是,1-4,1-2,0-1,3,2,4,2,1,2,1,0,2,0/0,5,新疆,2018-02-11
西热力江,20,27,是,0-1,1-5,0-0,0,2,1,3,2,0,0,0,0,0/0,3,新疆,2018-02-11
李根,1,25,否,6-6,3-4,5-7,0,1,2,0,0,0,0,1,3,0/0,26,新疆,2018-02-11
奥古斯托-利马,23,27,否,10-12,0-0,0-0,8,6,2,2,4,1,1,3,0,0/0,20,新疆,2018-02-11
阿不都沙拉木,14,15,否,3-5,1-2,0-0,2,1,1,2,0,0,0,0,0,0/0,9,新疆,2018-02-11
刘丰博,3,3,否,0-0,1-1,0-0,0,0,0,0,0,0,0,0,0,0/0,3,新疆,2018-02-11
孙鸣阳,21,6,否,0-1,0-0,0-0,0,1,2,0,1,1,0,0,0,0/0,0,新疆,2018-02-11
卡米然斯地克江,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-11
李学林,6,9,否,0-1,0-0,0-0,0,1,3,2,1,1,0,0,1,0/0,0,新疆,2018-02-11
王子瑞,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-11
唐才育,18,3,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-11
吴前,33,38,是,2-3,7-14,2-2,1,2,3,2,3,4,0,0,3,0/0,27,浙江,2018-02-11
威姆斯,13,30,是,2-7,1-4,2-2,0,4,1,4,1,2,0,0,1,0/0,9,浙江,2018-02-11
程帅澎,6,16,是,0-4,2-2,2-2,2,0,2,2,0,3,0,0,2,0/0,8,浙江,2018-02-11
张大宇,24,25,是,2-9,0-0,3-4,2,5,1,0,0,3,0,0,2,0/0,7,浙江,2018-02-11
张永鹏,76,15,是,1-1,0-0,0-0,1,0,0,4,1,1,0,0,0,0/0,2,浙江,2018-02-11
欧努阿库,5,20,否,6-8,0-0,0-2,2,2,1,1,0,2,1,1,1,0/0,12,浙江,2018-02-11
付磊,3,29,否,2-2,1-8,2-2,1,0,1,2,0,1,0,0,2,0/0,9,浙江,2018-02-11
赖俊豪,17,31,否,3-3,0-3,3-4,2,8,2,1,0,2,0,0,4,0/0,9,浙江,2018-02-11
刘泽一,10,8,否,3-3,0-0,0-0,1,1,0,0,0,0,0,0,0,0/0,6,浙江,2018-02-11
王奕博,7,5,否,2-2,0-2,1-2,0,0,0,1,1,0,0,0,2,0/0,5,浙江,2018-02-11
惠龙儿,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-02-11
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-02-11
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-02-11
江凯,93,12,否,0-2,0-1,0-0,1,2,0,1,1,1,0,0,0,0/0,0,浙江,2018-02-11
李宗翰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-02-11
陆文博,8,5,否,0-0,0-2,0-0,0,0,0,0,1,0,0,0,1,0/0,0,浙江,2018-02-11
张家丰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-02-11
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-02-11
