player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
亚当斯,4,44:42,是,9-17,7-13,10-11,2,6,10,1,2,3,0,0,13,3/3,49,新疆,2017-01-15
可兰白克,13,28:21,是,1-4,3-6,2-2,3,3,0,1,0,1,0,0,1,0/0,13,新疆,2017-01-15
周琦,9,37:52,是,5-8,0-1,1-2,6,8,0,5,0,3,1,2,4,0/0,11,新疆,2017-01-15
李根,1,27:39,是,2-7,1-3,0-0,1,1,2,1,2,0,0,0,0,0/0,7,新疆,2017-01-15
俞长栋,7,08:42,是,2-2,0-0,0-0,2,0,1,1,0,0,0,0,0,0/0,4,新疆,2017-01-15
布莱切,0,27:18,否,5-10,0-4,3-3,3,5,3,1,2,0,2,0,4,1/1,13,新疆,2017-01-15
西热力江,20,31:15,否,0-1,3-10,0-2,0,2,2,1,2,0,1,0,1,0/0,9,新疆,2017-01-15
孙桐林,55,22:08,否,3-4,0-0,0-0,0,2,0,3,3,0,0,0,0,0/0,6,新疆,2017-01-15
罗旭东,6,08:45,否,0-0,0-0,1-2,0,1,0,2,1,0,0,0,1,0/0,1,新疆,2017-01-15
王子瑞,30,03:18,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-01-15
未确认,--,--,--,0-0,0-0,0-0,1,0,0,0,0,1,0,0,0,0/0,0,新疆,2017-01-15
杰里米-帕戈,2,38:24,是,9-15,2-7,4-4,0,4,7,3,0,6,0,1,2,1/1,28,深圳,2017-01-15
顾全,12,42:58,是,4-8,4-7,1-2,3,2,1,5,1,1,0,0,2,2/2,21,深圳,2017-01-15
李慕豪,21,35:49,是,6-8,0-0,2-5,6,3,0,5,1,3,2,2,4,0/0,14,深圳,2017-01-15
孟铎,3,40:26,是,0-1,2-6,0-0,0,2,2,3,1,2,0,0,0,0/0,6,深圳,2017-01-15
张凯,7,09:35,是,0-1,0-0,0-0,0,2,0,1,0,0,0,0,0,0/0,0,深圳,2017-01-15
马齐-兰佩,30,29:20,否,4-12,4-4,4-6,4,11,1,2,0,0,1,0,4,1/1,24,深圳,2017-01-15
代怀博,22,21:16,否,0-2,2-2,4-4,0,3,0,4,0,0,0,0,2,0/0,10,深圳,2017-01-15
何忠勉,20,08:20,否,1-1,0-2,0-0,0,1,0,0,0,1,0,0,0,0/0,2,深圳,2017-01-15
于德豪,8,09:36,否,1-1,0-0,0-0,0,0,1,1,1,1,0,0,2,0/0,2,深圳,2017-01-15
邱彪,13,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-01-15
赵捷,24,04:16,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,深圳,2017-01-15
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,深圳,2017-01-15
