player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
亚当斯,4,40,是,10-18,8-18,11-12,1,4,3,4,5,0,1,0,12,0/0,55,新疆,2018-12-09
李根,1,32,是,3-4,2-6,3-3,0,2,1,1,0,1,0,0,2,0/0,15,新疆,2018-12-09
阿不都沙拉木,23,40,是,4-7,1-4,2-2,3,3,1,3,0,1,0,0,2,0/0,13,新疆,2018-12-09
俞长栋,7,31,是,3-8,0-3,2-2,6,3,0,5,4,4,1,0,1,0/0,8,新疆,2018-12-09
范子铭,17,7,是,1-4,0-0,0-0,0,1,1,1,1,0,0,0,0,0/0,2,新疆,2018-12-09
哈达迪,15,23,否,3-5,0-0,6-7,2,7,3,4,0,4,1,0,5,0/0,12,新疆,2018-12-09
孙桐林,55,33,否,2-5,0-1,5-6,3,6,3,3,3,1,1,0,4,0/0,9,新疆,2018-12-09
周仪翔,27,23,否,0-2,1-4,0-0,0,1,1,1,0,1,0,0,1,0/0,3,新疆,2018-12-09
曾令旭,6,3,否,1-1,0-0,1-1,0,0,1,0,0,0,0,0,1,0/0,3,新疆,2018-12-09
王子瑞,28,4,否,1-2,0-1,0-0,1,1,0,0,0,0,0,0,0,0/0,2,新疆,2018-12-09
姜文,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-12-09
刘羽楠,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-12-09
侯沛佐,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-12-09
唐才育,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-12-09
可兰白克,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-12-09
邓群飞,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-12-09
普-杰特,4,42,是,5-12,9-16,7-8,0,4,6,3,2,3,0,0,8,0/0,44,福建,2018-12-09
王哲林,31,39,是,14-25,1-3,5-6,7,11,0,4,1,8,3,2,9,0/0,36,福建,2018-12-09
黄毅超,14,35,是,4-7,1-5,3-4,2,4,2,2,2,2,1,0,3,0/0,14,福建,2018-12-09
田桂森,0,31,是,1-2,1-6,1-2,2,5,6,3,3,1,2,0,1,0/0,6,福建,2018-12-09
孙椿棚,13,37,是,2-4,0-0,0-0,1,3,1,4,0,1,0,0,1,0/0,4,福建,2018-12-09
刘洺宇,6,15,否,0-3,2-2,0-0,0,1,2,4,0,0,0,0,0,0/0,6,福建,2018-12-09
胡珑贸,10,22,否,1-1,1-2,0-0,1,2,0,2,1,2,1,0,0,0/0,5,福建,2018-12-09
卡米然斯地克江,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-09
李江淮,5,5,否,0-0,0-1,0-0,0,1,1,2,0,0,0,0,0,0/0,0,福建,2018-12-09
谢亚财,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-09
范宇轩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-09
尼克尔森,44,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-09
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-09
田嘉夫,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-09
孙喆,17,8,否,0-0,0-0,0-0,0,0,0,4,1,0,0,0,0,0/0,0,福建,2018-12-09
赵泰隆,73,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-09
何重达,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-09
陈林坚,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-09
