player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
周琦,9,40:43,是,6-9,0-1,7-11,6,7,1,2,0,6,2,3,9,2/2,19,新疆,2017-03-12
西热力江,20,45:13,是,1-2,5-9,0-1,3,3,2,3,4,2,1,0,1,0/0,17,新疆,2017-03-12
亚当斯,4,34:31,是,4-11,0-6,0-0,2,4,6,1,2,3,0,0,2,2/2,8,新疆,2017-03-12
可兰白克,13,19:17,是,2-2,0-0,1-2,1,0,1,3,0,2,0,0,1,0/0,5,新疆,2017-03-12
俞长栋,7,13:43,是,0-0,0-1,1-2,3,1,0,1,2,2,0,0,2,0/0,1,新疆,2017-03-12
布莱切,0,37:25,否,10-17,2-5,3-5,0,13,5,3,1,4,1,1,5,0/0,29,新疆,2017-03-12
李根,1,32:57,否,2-4,4-6,4-6,1,2,3,5,1,1,0,0,5,0/0,20,新疆,2017-03-12
罗旭东,6,11:02,否,1-2,0-1,1-2,1,0,0,1,3,0,0,0,1,1/1,3,新疆,2017-03-12
王子瑞,30,03:30,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-03-12
孙桐林,55,01:39,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,新疆,2017-03-12
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,1,0,0,0,0/0,0,新疆,2017-03-12
哈德森,14,46:43,是,6-10,3-13,0-0,0,7,5,2,4,4,1,0,2,1/1,21,辽宁,2017-03-12
郭艾伦,13,40:36,是,6-10,1-4,4-5,0,2,4,5,3,5,0,0,7,4/4,19,辽宁,2017-03-12
韩德君,55,43:03,是,7-12,0-0,4-4,3,5,1,4,2,3,0,0,4,0/1,18,辽宁,2017-03-12
刘志轩,11,29:02,是,1-1,2-2,0-0,0,1,2,2,2,4,0,0,1,1/1,8,辽宁,2017-03-12
廉明,21,13:37,是,2-5,0-0,0-0,1,0,0,4,0,0,0,0,0,0/0,4,辽宁,2017-03-12
赵继伟,3,30:16,否,3-3,2-5,0-0,0,5,2,5,2,1,0,0,3,0/0,12,辽宁,2017-03-12
兰多夫,42,25:17,否,2-5,1-4,1-2,1,8,0,1,2,3,0,0,1,0/0,8,辽宁,2017-03-12
杨鸣,12,03:42,否,0-2,0-0,0-0,2,0,1,0,0,0,0,0,1,0/0,0,辽宁,2017-03-12
卫猛,23,07:44,否,0-1,0-0,0-0,0,0,0,3,0,0,1,0,0,0/0,0,辽宁,2017-03-12
未确认,--,--,--,0-0,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-03-12
