player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
亚当斯,4,35,是,6-12,7-14,4-5,0,4,13,1,1,0,0,1,6,0/0,37,新疆,2017-12-07
可兰白克,13,27,是,5-7,1-4,3-3,4,6,0,2,0,1,0,0,3,0/0,16,新疆,2017-12-07
西热力江,20,24,是,1-2,4-7,0-0,0,2,2,2,2,1,0,1,0,0/0,14,新疆,2017-12-07
俞长栋,27,23,是,2-2,3-3,0-0,2,4,1,1,2,2,0,0,0,0/0,13,新疆,2017-12-07
孙桐林,55,22,是,4-5,0-0,2-3,2,4,1,2,0,1,1,0,2,0/0,10,新疆,2017-12-07
阿不都沙拉木,23,27,否,3-8,1-3,4-4,3,4,0,3,2,1,0,0,2,0/0,13,新疆,2017-12-07
李根,1,18,否,3-5,1-2,0-1,0,2,1,4,0,1,0,0,1,0/0,9,新疆,2017-12-07
唐才育,18,14,否,1-4,1-3,4-5,0,1,0,1,0,0,0,0,3,0/0,9,新疆,2017-12-07
孙鸣阳,21,25,否,3-6,0-0,0-0,3,3,1,5,0,2,2,0,0,0/0,6,新疆,2017-12-07
李学林,6,20,否,2-3,0-1,2-2,0,1,0,1,1,0,0,0,1,0/0,6,新疆,2017-12-07
布莱切,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-12-07
卡米然斯地克江,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-12-07
刘丰博,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-12-07
王子瑞,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-12-07
吉布森,22,45,是,7-18,4-15,9-9,1,8,5,4,1,1,0,0,9,0/0,35,青岛,2017-12-07
苏伟,9,30,是,6-8,0-0,8-10,3,2,1,0,0,0,0,1,5,0/0,20,青岛,2017-12-07
刘书楠,7,34,是,3-4,2-5,4-4,3,4,3,2,2,1,0,0,2,0/0,16,青岛,2017-12-07
田嘉夫,14,16,是,2-2,0-1,0-0,0,2,0,1,0,2,0,0,0,0/0,4,青岛,2017-12-07
高尚,0,20,是,0-0,0-1,0-0,0,2,0,1,0,0,0,0,0,0/0,0,青岛,2017-12-07
张骋宇,6,25,否,2-5,3-3,0-0,2,3,1,4,1,2,0,0,1,0/0,13,青岛,2017-12-07
宗赞,13,26,否,4-8,0-1,2-2,2,3,2,3,0,1,0,0,1,0/0,10,青岛,2017-12-07
孙杰,17,14,否,1-1,2-5,0-0,0,1,1,1,0,1,0,0,0,0/0,8,青岛,2017-12-07
王庆明,32,12,否,1-3,0-0,2-2,0,2,1,1,0,0,0,0,2,0/0,4,青岛,2017-12-07
许家晗,3,10,否,1-2,0-1,0-0,0,1,3,1,1,2,0,0,1,0/0,2,青岛,2017-12-07
刘鸿博,91,2,否,0-0,0-0,1-2,0,1,0,0,0,0,0,0,1,0/0,1,青岛,2017-12-07
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-07
张昊,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-07
刁成灏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-07
赵捷,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-07
丁皓然,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-07
马齐-兰佩,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-07
单梓桐,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-07
