player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布鲁克斯,2,36,是,3-7,4-7,4-7,0,2,5,3,0,7,0,0,4,0/0,22,江苏,2017-12-08
李原宇,16,23,是,5-6,1-3,0-0,2,3,2,5,1,1,0,1,1,0/0,13,江苏,2017-12-08
吴冠希,11,22,是,5-8,0-0,0-0,3,4,0,2,1,1,1,3,1,0/0,10,江苏,2017-12-08
侯逸凡,31,22,是,1-4,1-2,0-0,0,2,1,1,0,0,0,1,0,0/0,5,江苏,2017-12-08
曹飞,23,22,是,1-3,0-1,0-0,1,2,2,2,1,1,0,0,0,0/0,2,江苏,2017-12-08
拉杜利察,13,35,否,10-17,0-1,14-15,5,9,5,3,2,2,0,2,12,0/0,34,江苏,2017-12-08
史鸿飞,4,40,否,1-1,3-8,0-0,1,5,3,4,2,2,0,0,2,0/0,11,江苏,2017-12-08
易立,8,23,否,1-2,0-2,0-0,1,3,0,2,0,2,2,0,0,0/0,2,江苏,2017-12-08
柳伟,15,13,否,1-2,0-0,0-0,1,1,0,4,0,1,0,0,0,0/0,2,江苏,2017-12-08
常亚松,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-08
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-08
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-08
张有为,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-08
刘亚晖,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-08
陈磊,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-08
刘磊,45,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-08
弗雷戴特,32,44,是,5-13,7-15,7-7,1,6,3,0,1,2,0,0,4,0/0,38,上海,2017-12-08
曾文鼎,76,24,是,0-0,2-3,0-0,1,2,2,3,1,1,0,0,0,0/0,6,上海,2017-12-08
董瀚麟,16,22,是,2-3,0-0,1-2,1,0,0,5,0,2,0,1,1,0/0,5,上海,2017-12-08
施宇晨,47,33,是,0-1,1-3,0-0,1,3,3,2,0,1,0,0,0,0/0,3,上海,2017-12-08
翟逸,22,30,是,0-1,0-1,1-4,0,1,2,2,2,0,0,0,2,0/0,1,上海,2017-12-08
明纳拉斯,41,28,否,7-14,3-7,9-9,1,3,1,1,2,3,0,2,11,0/0,32,上海,2017-12-08
张兆旭,23,19,否,1-2,0-1,2-2,1,3,0,5,0,1,1,0,2,0/0,4,上海,2017-12-08
卢伟,12,19,否,0-0,1-4,0-0,0,1,0,0,0,0,0,0,1,0/0,3,上海,2017-12-08
罗汉琛,33,4,否,0-0,0-0,2-2,0,1,0,0,0,0,0,0,1,0/0,2,上海,2017-12-08
蔡亮,1,11,否,0-0,0-1,2-2,0,2,0,2,2,2,0,0,4,0/0,2,上海,2017-12-08
王潼,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-08
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-08
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-08
罗智,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-08
孟令源,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-08
唐子豪,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-08
黄旭,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-08
