player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布鲁克斯,2,24:22,是,8-15,1-6,3-3,1,3,4,2,2,0,1,1,1,2/2,22,江苏,2016-11-18
李原宇,16,36:54,是,6-9,0-0,0-0,7,7,2,2,3,2,0,1,2,0/0,12,江苏,2016-11-18
曹飞,23,28:37,是,4-5,0-0,2-2,0,1,0,3,3,2,0,0,1,1/1,10,江苏,2016-11-18
易立,8,35:16,是,3-3,0-2,2-4,0,4,2,3,0,7,2,1,4,1/1,8,江苏,2016-11-18
柳伟,15,11:02,是,2-2,0-0,0-0,0,3,0,0,0,1,0,0,0,0/0,4,江苏,2016-11-18
常林,45,20:34,否,4-7,2-4,3-4,2,3,0,3,0,1,0,0,3,0/0,17,江苏,2016-11-18
萨缪尔斯,24,21:08,否,5-13,0-0,7-12,4,6,0,1,0,3,1,2,8,0/0,17,江苏,2016-11-18
陈磊,22,12:48,否,1-1,1-1,1-1,0,0,0,0,0,1,0,0,1,0/0,6,江苏,2016-11-18
胡雪峰,55,25:54,否,0-0,0-1,4-5,0,2,4,1,1,2,0,0,3,0/0,4,江苏,2016-11-18
刘亚晖,9,06:22,否,1-4,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,江苏,2016-11-18
侯逸凡,31,07:51,否,0-1,0-0,0-0,0,3,0,1,0,1,0,0,0,0/0,0,江苏,2016-11-18
常亚松,5,09:12,否,0-0,0-1,0-0,0,2,1,1,0,0,0,0,0,0/0,0,江苏,2016-11-18
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,0,0,0,0,0/0,0,江苏,2016-11-18
邹雨宸,10,28:11,是,9-13,0-0,0-0,4,1,0,2,1,3,3,0,0,0/0,18,八一,2016-11-18
许钟豪,24,38:16,是,5-11,0-0,0-0,3,7,3,4,2,6,3,1,2,1/1,10,八一,2016-11-18
阿尔斯兰,5,27:38,是,1-10,1-4,0-0,1,2,3,2,1,3,0,0,2,0/0,5,八一,2016-11-18
曹岩,8,15:21,是,0-1,1-4,0-0,0,3,0,3,0,1,0,0,0,0/1,3,八一,2016-11-18
张祖铭,20,20:33,是,0-2,0-7,0-0,3,1,1,2,0,1,0,0,0,0/0,0,八一,2016-11-18
雷蒙,11,33:28,否,0-1,5-9,1-1,0,3,3,3,3,3,0,0,3,0/0,16,八一,2016-11-18
李天戈,6,20:22,否,4-5,0-2,0-2,1,1,2,1,3,3,0,0,4,1/1,8,八一,2016-11-18
余晨,15,08:54,否,3-4,0-0,0-0,1,2,0,2,0,0,0,0,0,0/0,6,八一,2016-11-18
刘航初,9,25:10,否,2-4,0-1,1-5,0,2,1,2,0,1,0,0,4,0/0,5,八一,2016-11-18
付豪,1,14:36,否,1-3,0-0,2-4,2,1,1,3,1,1,0,0,2,0/0,4,八一,2016-11-18
德勒黑,22,01:36,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,八一,2016-11-18
宁鸿宇,16,05:55,否,0-0,0-0,0-0,0,1,0,1,0,0,1,0,0,0/0,0,八一,2016-11-18
