player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布鲁克斯,2,36:30,是,7-13,2-7,6-7,1,3,1,3,1,2,0,1,3,0/0,26,江苏,2016-11-27
易立,8,42:51,是,2-4,2-3,4-4,0,4,2,5,1,3,2,0,3,0/0,14,江苏,2016-11-27
李原宇,16,14:49,是,2-2,0-0,2-2,1,1,0,2,0,0,0,0,2,0/0,6,江苏,2016-11-27
柳伟,15,11:23,是,2-3,0-0,0-0,2,3,1,1,2,2,0,0,0,0/0,4,江苏,2016-11-27
常亚松,5,07:54,是,0-1,1-2,0-0,0,0,0,3,0,0,0,0,1,0/0,3,江苏,2016-11-27
萨缪尔斯,24,35:20,否,11-15,0-1,6-8,2,3,3,1,3,1,0,4,8,0/0,28,江苏,2016-11-27
常林,45,32:37,否,2-5,3-5,10-13,4,4,1,5,1,4,0,0,8,0/0,23,江苏,2016-11-27
胡雪峰,55,33:40,否,1-1,2-5,0-0,2,3,2,0,1,4,0,0,1,0/0,8,江苏,2016-11-27
陈磊,22,24:56,否,1-2,1-3,0-0,0,2,0,3,0,1,1,0,0,0/0,5,江苏,2016-11-27
未确认,--,--,--,0-0,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,江苏,2016-11-27
马布里,3,38:21,是,10-14,1-4,4-6,0,1,7,3,3,5,0,0,9,0/0,27,北京,2016-11-27
吉喆,51,36:34,是,6-8,1-2,3-4,2,6,1,5,3,1,0,2,3,0/0,18,北京,2016-11-27
翟晓川,20,31:06,是,1-2,3-4,4-4,1,1,0,4,3,2,0,0,3,1/1,15,北京,2016-11-27
孙悦,9,37:35,是,1-1,0-4,0-0,1,2,3,2,0,4,1,0,0,0/0,2,北京,2016-11-27
张松涛,35,05:41,是,1-1,0-0,0-0,0,0,0,1,0,3,0,0,0,0/0,2,北京,2016-11-27
莫里斯,32,33:49,否,7-13,1-1,5-6,1,6,2,3,2,0,1,0,7,0/0,22,北京,2016-11-27
方硕,8,09:59,否,1-1,2-4,0-0,1,0,2,0,0,1,0,0,0,0/0,8,北京,2016-11-27
张庆鹏,18,23:51,否,2-2,1-6,0-0,0,2,1,1,1,3,0,0,0,0/0,7,北京,2016-11-27
朱彦西,13,13:35,否,0-0,1-1,0-0,0,2,0,6,0,0,0,0,0,0/0,3,北京,2016-11-27
王骁辉,33,06:38,否,0-0,0-1,0-0,0,0,1,0,0,0,0,0,1,0/0,0,北京,2016-11-27
段江鹏,11,02:51,否,0-0,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,0,北京,2016-11-27
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,北京,2016-11-27
