player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布鲁克斯,2,34,是,11-16,9-20,6-7,1,9,7,0,3,4,1,1,7,0/0,55,江苏,2017-12-21
曹飞,23,22,是,2-3,3-3,0-0,0,2,5,4,0,2,0,0,1,0/0,13,江苏,2017-12-21
吴冠希,11,12,是,2-3,0-0,1-2,3,0,1,3,1,1,0,1,1,0/0,5,江苏,2017-12-21
侯逸凡,31,23,是,1-3,1-3,0-2,0,1,2,0,0,0,0,0,1,0/0,5,江苏,2017-12-21
李原宇,16,17,是,1-3,0-0,0-0,1,1,2,5,0,0,1,0,1,0/0,2,江苏,2017-12-21
拉杜利察,13,33,否,7-16,0-0,3-4,5,16,3,2,4,1,1,0,5,0/0,17,江苏,2017-12-21
史鸿飞,4,25,否,1-1,3-3,0-0,1,3,1,2,0,0,0,0,1,0/0,11,江苏,2017-12-21
刘亚晖,9,13,否,3-4,0-0,0-0,2,1,1,2,0,2,0,0,1,0/0,6,江苏,2017-12-21
陈磊,22,12,否,0-1,1-1,0-0,1,1,0,4,0,0,0,0,0,0/0,3,江苏,2017-12-21
易立,8,25,否,1-3,0-5,0-0,1,2,0,0,0,0,0,1,1,0/0,2,江苏,2017-12-21
柳伟,15,19,否,0-4,0-0,2-2,1,1,1,5,0,0,0,0,1,0/0,2,江苏,2017-12-21
张有为,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-21
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-21
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-21
常亚松,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-21
刘磊,45,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-21
马布里,3,34,是,5-7,1-6,5-6,0,3,4,3,1,1,0,0,4,0/0,18,北控,2017-12-21
于梁,11,22,是,5-6,2-7,1-2,1,1,1,2,1,0,0,0,5,0/0,17,北控,2017-12-21
杨敬敏,6,31,是,3-5,0-2,6-7,2,5,3,1,1,2,0,0,4,0/0,12,北控,2017-12-21
王征,28,25,是,4-5,0-0,0-0,0,2,0,1,0,1,2,0,1,0/0,8,北控,2017-12-21
滕贺麒,8,16,是,0-2,1-3,0-2,1,0,1,4,0,1,0,0,2,0/0,3,北控,2017-12-21
兰多夫,42,28,否,6-15,1-3,7-9,2,12,0,2,1,2,0,1,7,0/0,22,北控,2017-12-21
杨庚霖,10,7,否,0-0,4-4,1-2,0,0,0,2,0,0,1,0,2,0/0,13,北控,2017-12-21
李雪松,7,9,否,2-2,0-0,1-2,1,1,2,0,0,0,0,0,1,0/0,5,北控,2017-12-21
许梦君,9,26,否,0-0,1-5,2-2,0,1,1,1,0,2,0,0,1,0/0,5,北控,2017-12-21
于澍龙,5,13,否,1-2,0-0,0-0,0,1,3,0,0,0,0,0,0,0/0,2,北控,2017-12-21
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-21
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-21
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-21
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-21
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-21
阿巴斯,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-21
宋康明,21,12,否,0-1,0-0,0-0,1,1,0,4,0,0,0,0,0,0/0,0,北控,2017-12-21
贺希宁,0,12,否,0-2,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,北控,2017-12-21
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-21
