player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布鲁克斯,2,40,是,10-22,4-11,11-13,4,9,9,3,3,4,1,1,10,0/0,43,江苏,2018-01-02
吴冠希,11,18,是,1-6,0-0,1-2,3,6,0,5,0,3,2,0,2,0/0,3,江苏,2018-01-02
侯逸凡,31,11,是,1-1,0-3,1-1,0,0,0,1,0,1,0,0,1,0/0,3,江苏,2018-01-02
李原宇,16,18,是,1-3,0-2,0-0,0,2,0,6,1,2,0,0,1,0/0,2,江苏,2018-01-02
曹飞,23,22,是,0-0,0-1,0-0,1,2,2,2,1,2,0,0,3,0/0,0,江苏,2018-01-02
拉杜利察,13,29,否,9-15,0-0,9-9,3,10,3,0,1,2,1,2,6,0/0,27,江苏,2018-01-02
易立,8,36,否,5-7,0-3,0-0,3,2,2,3,1,2,1,2,1,0/0,10,江苏,2018-01-02
史鸿飞,4,33,否,0-2,2-8,0-0,0,2,2,2,1,1,0,0,0,0/0,6,江苏,2018-01-02
柳伟,15,29,否,1-4,0-0,0-0,2,0,0,5,1,2,0,0,1,0/0,2,江苏,2018-01-02
常亚松,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-01-02
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-01-02
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-01-02
张有为,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-01-02
刘亚晖,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-01-02
陈磊,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-01-02
刘磊,45,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-01-02
兰德里,24,34,是,9-20,0-0,13-13,5,7,1,3,1,2,1,0,10,0/0,31,吉林,2018-01-02
柴长易,6,34,是,1-3,4-10,0-0,0,3,1,2,2,2,0,0,1,0/0,14,吉林,2018-01-02
高诗岩,0,27,是,2-7,0-0,8-8,0,4,4,5,3,2,0,0,8,0/0,12,吉林,2018-01-02
张彪,14,26,是,2-6,0-0,0-0,1,3,1,6,0,3,1,0,0,0/0,4,吉林,2018-01-02
崔晋铭,5,28,是,0-1,0-1,0-0,0,1,0,5,2,3,0,0,0,0/0,0,吉林,2018-01-02
韦弗,13,37,否,13-22,3-9,2-2,2,6,4,0,0,0,1,1,5,0/0,37,吉林,2018-01-02
代怀博,22,12,否,0-0,1-1,1-2,0,0,0,4,0,0,0,0,2,0/0,4,吉林,2018-01-02
李安,4,22,否,1-3,0-0,0-0,1,5,0,0,0,0,0,0,0,0/0,2,吉林,2018-01-02
蔡李龙,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-02
姚天一,3,16,否,0-0,0-0,0-0,0,2,4,0,0,0,0,0,1,0/0,0,吉林,2018-01-02
刘天意,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-02
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-02
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-02
廉明,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-02
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-02
耿铭旸,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-02
