player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
拉杜利察,13,28,是,9-13,0-0,2-3,4,9,4,5,2,1,0,3,7,0/0,20,江苏,2018-12-15
李原宇,16,34,是,4-7,2-3,6-8,3,6,2,5,1,4,0,0,5,0/0,20,江苏,2018-12-15
易立,8,42,是,2-6,1-3,6-8,0,4,2,2,2,4,1,0,6,0/0,13,江苏,2018-12-15
侯逸凡,31,25,是,3-4,1-3,0-0,0,0,2,5,1,1,3,2,1,0/0,9,江苏,2018-12-15
史鸿飞,4,23,是,2-2,1-4,2-2,0,2,3,4,0,0,0,0,2,0/0,9,江苏,2018-12-15
唐纳德-斯隆,1,36,否,7-11,1-7,4-4,2,2,8,1,0,1,0,0,3,0/0,21,江苏,2018-12-15
柳伟,15,18,否,2-4,1-1,3-4,1,2,0,2,0,0,0,0,2,0/0,10,江苏,2018-12-15
吴冠希,11,14,否,2-4,0-1,1-3,2,3,1,2,0,1,1,1,2,0/0,5,江苏,2018-12-15
曹飞,23,16,否,2-3,0-0,0-0,0,1,0,4,0,0,0,0,0,0/0,4,江苏,2018-12-15
孙鑫,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-15
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-15
刘宇轩,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-15
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-15
赵率舟,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-15
张有为,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-15
张稀然,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-15
乔-杨,3,48,是,14-25,0-6,18-18,1,5,5,1,2,2,0,2,15,0/0,46,同曦,2018-12-15
郭一飞,10,22,是,1-1,1-3,3-4,1,2,0,4,1,0,1,0,3,0/0,8,同曦,2018-12-15
于长春,6,32,是,1-2,1-4,1-2,0,2,1,4,0,2,0,0,2,0/0,6,同曦,2018-12-15
张财宝,22,22,是,1-2,1-1,0-2,0,2,3,1,2,1,0,0,3,0/0,5,同曦,2018-12-15
买尔丹,33,21,是,1-2,0-0,0-0,2,2,1,6,0,2,0,0,0,0/0,2,同曦,2018-12-15
奥斯汀,2,24,否,3-9,2-3,2-2,2,3,0,2,0,0,4,0,2,0/0,14,同曦,2018-12-15
冯欣,11,16,否,5-7,0-0,0-0,0,1,2,1,2,0,0,0,3,0/0,10,同曦,2018-12-15
惠龙儿,18,21,否,1-1,0-0,2-2,0,1,2,6,0,0,1,0,2,0/0,4,同曦,2018-12-15
宋建骅,8,16,否,0-2,1-4,0-0,0,1,0,1,1,2,0,0,0,0/0,3,同曦,2018-12-15
乔文瀚,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-15
杨力,19,9,否,0-0,0-0,0-0,1,3,1,0,0,1,0,0,0,0/0,0,同曦,2018-12-15
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-15
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-15
李泓澎,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-15
王睿,21,6,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,同曦,2018-12-15
李佳益,39,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-15
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-15
张韩,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-15
李柏润,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-15
