player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
唐纳德-斯隆,1,35,是,4-7,5-14,8-10,0,8,2,1,2,2,0,0,7,0/0,31,江苏,2018-12-06
易立,8,43,是,3-6,0-1,10-12,2,5,3,2,1,3,1,0,6,0/0,16,江苏,2018-12-06
李原宇,16,29,是,7-8,0-1,2-6,2,4,2,4,1,2,0,0,6,0/0,16,江苏,2018-12-06
吴冠希,11,26,是,4-8,0-0,2-5,6,2,2,5,1,0,0,0,5,0/0,10,江苏,2018-12-06
侯逸凡,31,20,是,2-4,0-3,0-0,0,1,1,4,0,0,0,0,2,0/0,4,江苏,2018-12-06
拉杜利察,13,28,否,6-12,1-2,9-10,2,3,2,3,0,2,2,0,7,0/0,24,江苏,2018-12-06
史鸿飞,4,29,否,0-0,2-2,0-0,0,2,7,0,1,0,0,0,1,0/0,6,江苏,2018-12-06
孙鑫,10,4,否,1-1,1-1,0-0,0,0,1,1,0,0,0,0,0,0/0,5,江苏,2018-12-06
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-06
曹飞,23,10,否,0-0,0-1,0-0,0,2,1,4,0,0,1,0,0,0/0,0,江苏,2018-12-06
刘宇轩,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-06
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-06
赵率舟,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-06
张有为,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-06
柳伟,15,12,否,0-2,0-0,0-0,1,1,1,6,0,1,0,0,2,0/0,0,江苏,2018-12-06
张稀然,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-06
富兰克林,11,47,是,8-15,5-10,16-19,2,8,10,5,2,3,2,1,19,0/0,47,四川,2018-12-06
贾森-汤普森,1,36,是,6-11,0-2,0-0,6,7,1,5,0,2,0,0,7,0/0,12,四川,2018-12-06
左朕年,13,22,是,0-1,2-4,0-0,0,2,1,4,0,1,1,0,0,0/0,6,四川,2018-12-06
孟达,12,13,是,0-0,0-2,0-0,0,2,0,1,0,0,0,0,0,0/0,0,四川,2018-12-06
王政博,16,12,是,0-0,0-2,0-0,0,0,1,3,0,1,0,0,0,0/0,0,四川,2018-12-06
杨越,6,32,否,4-7,5-5,0-0,0,1,0,5,3,0,1,0,0,0/0,23,四川,2018-12-06
黄荣奇,7,20,否,3-8,0-1,4-6,1,2,0,3,0,2,0,0,3,0/0,10,四川,2018-12-06
陈辰,32,19,否,1-3,2-4,1-2,3,1,0,5,2,1,0,0,1,0/0,9,四川,2018-12-06
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-06
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-06
景菡一,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-06
莫蒙尘,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-06
胡林森,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-06
闵庆飞,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-06
陈晓东,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-06
袁振梁,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-06
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-06
曾文鼎,76,34,否,0-1,0-2,0-0,0,6,1,5,0,0,1,0,0,0/0,0,四川,2018-12-06
张海阔,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-12-06
